ID;Nombre;IdFutwiz;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
17;ann-katrin berger;20634;https://www.futwiz.com/en/fc25/player/ann-katrin-berger/20634;94;5;NJ/NY Gotham ;USA F;Alemania;95;94;90;94;55;91
18;ferenc puskas;20616;https://www.futwiz.com/en/fc25/player/ferenc-puskas/20616;94;155;Icons ;ICO;Hungria;92;95;92;94;53;88
19;erling haaland;19481;https://www.futwiz.com/en/fc25/player/erling-haaland/19481;94;117;Manchester City ;ENG 1;Noruega;91;95;76;87;48;91
20;erling haaland;19482;https://www.futwiz.com/en/fc25/player/erling-haaland/19482;94;117;Manchester City ;ENG 1;Noruega;90;78;80;75;88;94
21;kylian mbappe;19261;https://www.futwiz.com/en/fc25/player/kylian-mbappe/19261;94;33;Real Madrid ;ESP 1;Francia;99;93;84;95;39;82
22;emiliano martinez;20635;https://www.futwiz.com/en/fc25/player/emiliano-martinez/20635;94;5;Aston Villa ;ENG 1;Argentina;91;89;90;93;63;94
23;ronaldo;18432;https://www.futwiz.com/en/fc25/player/ronaldo/18432;94;12;Icons ;ICO;Brasil;94;94;79;94;43;75
24;ronaldinho;19346;https://www.futwiz.com/en/fc25/player/ronaldinho/19346;94;85;Icons ;ICO;Brasil;92;90;91;96;40;82
25;zinedine zidane;18433;https://www.futwiz.com/en/fc25/player/zinedine-zidane/18433;94;12;Icons ;ICO;Francia;83;90;94;94;73;84
26;zinedine zidane;20632;https://www.futwiz.com/en/fc25/player/zinedine-zidane/20632;94;152;Icons ;ICO;Francia;86;94;90;92;85;86
27;birgit prinz;19591;https://www.futwiz.com/en/fc25/player/birgit-prinz/19591;93;35;Icons ;ICO;Alemania;86;93;81;86;53;90
28;mia hamm;18435;https://www.futwiz.com/en/fc25/player/mia-hamm/18435;93;12;Icons ;ICO;Estados Unidos;92;93;86;92;54;81
29;jude bellingham;18664;https://www.futwiz.com/en/fc25/player/jude-bellingham/18664;93;50;Real Madrid ;ESP 1;Inglaterra;85;91;87;92;83;87
30;kenny dalglish;19590;https://www.futwiz.com/en/fc25/player/kenny-dalglish/19590;93;35;Icons ;ICO;Escocia;92;93;81;91;45;78
31;erling haaland;18874;https://www.futwiz.com/en/fc25/player/erling-haaland/18874;93;22;Manchester City ;ENG 1;Noruega;90;94;74;84;47;90
32;vini jr.;19483;https://www.futwiz.com/en/fc25/player/vini-jr./19483;93;117;Real Madrid ;ESP 1;Brasil;98;87;84;94;34;74
33;vini jr.;19484;https://www.futwiz.com/en/fc25/player/vini-jr./19484;93;117;Real Madrid ;ESP 1;Brasil;98;87;84;94;34;74
34;paolo maldini;19347;https://www.futwiz.com/en/fc25/player/paolo-maldini/19347;93;85;Icons ;ICO;Italia;86;56;75;70;96;85
35;caroline hansen;19485;https://www.futwiz.com/en/fc25/player/caroline-hansen/19485;93;117;FC Barcelona ;ESP F;Noruega;92;91;91;93;52;82
36;ruud gullit;19263;https://www.futwiz.com/en/fc25/player/ruud-gullit/19263;93;157;Icons ;ICO;Holanda;88;91;93;89;83;90
37;virgil van dijk;18716;https://www.futwiz.com/en/fc25/player/virgil-van-dijk/18716;93;50;Liverpool ;ENG 1;Holanda;83;64;75;75;93;90
38;harry kane;18715;https://www.futwiz.com/en/fc25/player/harry-kane/18715;93;50;FC Bayern Munchen ;GER 1;Inglaterra;82;96;87;87;52;85
39;kevin de bruyne;19262;https://www.futwiz.com/en/fc25/player/kevin-de-bruyne/19262;93;33;Manchester City ;ENG 1;Belgica;84;91;97;91;72;82
40;johan cruyff;18434;https://www.futwiz.com/en/fc25/player/johan-cruyff/18434;93;12;Icons ;ICO;Holanda;90;91;90;93;42;73
41;zico;19296;https://www.futwiz.com/en/fc25/player/zico/19296;93;157;Icons ;ICO;Brasil;91;94;93;93;65;74
42;ronaldinho;18436;https://www.futwiz.com/en/fc25/player/ronaldinho/18436;93;12;Icons ;ICO;Brasil;91;89;90;95;38;80
43;casillas;20621;https://www.futwiz.com/en/fc25/player/casillas/20621;93;155;Icons ;ICO;España;93;91;89;96;72;91
44;cafu;20619;https://www.futwiz.com/en/fc25/player/cafu/20619;93;155;Icons ;ICO;Brasil;93;70;85;90;92;90
45;thierry henry;20618;https://www.futwiz.com/en/fc25/player/thierry-henry/20618;93;155;Icons ;ICO;Francia;94;93;93;92;60;90
46;birgit prinz;18444;https://www.futwiz.com/en/fc25/player/birgit-prinz/18444;92;12;Icons ;ICO;Alemania;83;92;80;82;52;88
47;ferenc puskas;18441;https://www.futwiz.com/en/fc25/player/ferenc-puskas/18441;92;12;Icons ;ICO;Hungria;90;94;89;91;45;74
48;garrincha;18442;https://www.futwiz.com/en/fc25/player/garrincha/18442;92;12;Icons ;ICO;Brasil;89;85;92;94;40;66
49;julian alvarez;18666;https://www.futwiz.com/en/fc25/player/julian-alvarez/18666;92;50;Atletico de Madrid ;ESP 1;Argentina;89;92;85;89;62;86
50;rafael leao;20393;https://www.futwiz.com/en/fc25/player/rafael-leao/20393;92;108;Milano FC ;ITA 1;Portugal;96;87;87;92;46;85
51;aitana bonmati;18893;https://www.futwiz.com/en/fc25/player/aitana-bonmati/18893;92;22;FC Barcelona ;ESP F;España;82;87;87;92;78;76
52;erling haaland;19112;https://www.futwiz.com/en/fc25/player/erling-haaland/19112;92;gold-if;Manchester City ;ENG 1;Noruega;89;93;71;83;46;89
53;vini jr.;18935;https://www.futwiz.com/en/fc25/player/vini-jr./18935;92;22;Real Madrid ;ESP 1;Brasil;97;86;83;93;32;72
54;paolo maldini;18437;https://www.futwiz.com/en/fc25/player/paolo-maldini/18437;92;12;Icons ;ICO;Italia;85;55;74;69;95;82
55;lothar matthaus;19265;https://www.futwiz.com/en/fc25/player/lothar-matthaus/19265;92;157;Icons ;ICO;Alemania;90;89;91;83;92;84
56;lev yashin;18438;https://www.futwiz.com/en/fc25/player/lev-yashin/18438;92;12;Icons ;ICO;Rusia;93;89;75;94;60;93
57;phil foden;19297;https://www.futwiz.com/en/fc25/player/phil-foden/19297;92;33;Manchester City ;ENG 1;Inglaterra;92;91;89;95;62;67
58;rodri;19009;https://www.futwiz.com/en/fc25/player/rodri/19009;92;151;Manchester City ;ENG 1;España;80;81;88;86;92;87
59;kylian mbappe;18769;https://www.futwiz.com/en/fc25/player/kylian-mbappe/18769;92;94;Real Madrid ;ESP 1;Francia;98;91;82;93;37;80
60;kylian mbappe;19530;https://www.futwiz.com/en/fc25/player/kylian-mbappe/19530;92;gold-if;Real Madrid ;ESP 1;Francia;98;91;81;93;38;80
61;marcus rashford;19264;https://www.futwiz.com/en/fc25/player/marcus-rashford/19264;92;33;Man Utd ;ENG 1;Inglaterra;96;92;87;92;46;81
62;bobby charlton;18443;https://www.futwiz.com/en/fc25/player/bobby-charlton/18443;92;12;Icons ;ICO;Inglaterra;90;91;87;91;50;74
63;kadidiatou diani;18665;https://www.futwiz.com/en/fc25/player/kadidiatou-diani/18665;92;31;OL ;FRA F;Francia;93;88;84;91;59;82
64;sam kerr;19419;https://www.futwiz.com/en/fc25/player/sam-kerr/19419;92;28;Chelsea ;;Australia;87;90;76;92;45;85
65;caroline hansen;19008;https://www.futwiz.com/en/fc25/player/caroline-hansen/19008;92;151;FC Barcelona ;ESP F;Noruega;91;90;90;92;50;80
66;homare sawa;19592;https://www.futwiz.com/en/fc25/player/homare-sawa/19592;92;35;Icons ;ICO;Japon;86;88;93;92;85;77
67;homare sawa;19593;https://www.futwiz.com/en/fc25/player/homare-sawa/19593;92;35;Icons ;ICO;Japon;86;89;92;93;84;77
68;nadine angerer;36;https://www.futwiz.com/en/fc25/player/nadine-angerer/36;92;12;Icons ;ICO;Alemania;92;88;79;94;59;92
69;antoine griezmann;20556;https://www.futwiz.com/en/fc25/player/antoine-griezmann/20556;92;108;Atletico de Madrid ;ESP 1;Francia;88;91;92;92;62;80
70;gerd muller;18440;https://www.futwiz.com/en/fc25/player/gerd-muller/18440;92;12;Icons ;ICO;Alemania;87;92;76;85;44;74
71;robert lewandowski;20394;https://www.futwiz.com/en/fc25/player/robert-lewandowski/20394;92;108;FC Barcelona ;ESP 1;Polonia;87;92;87;90;50;88
72;carlos alberto;19486;https://www.futwiz.com/en/fc25/player/carlos-alberto/19486;92;35;Icons ;ICO;Brasil;90;66;81;85;92;86
73;carlos alberto;19487;https://www.futwiz.com/en/fc25/player/carlos-alberto/19487;92;35;Icons ;ICO;Brasil;92;66;85;87;89;86
74;franco baresi;19349;https://www.futwiz.com/en/fc25/player/franco-baresi/19349;92;85;Icons ;ICO;Italia;78;50;76;71;95;84
75;lionel messi;19348;https://www.futwiz.com/en/fc25/player/lionel-messi/19348;92;82;Inter Miami CF ;MLS;Argentina;86;89;92;95;38;70
76;rivaldo;19529;https://www.futwiz.com/en/fc25/player/rivaldo/19529;92;35;Icons ;ICO;Brasil;89;90;89;93;44;99
77;jairzinho;19269;https://www.futwiz.com/en/fc25/player/jairzinho/19269;91;157;Icons ;ICO;Brasil;93;91;87;92;51;76
78;lucio;19074;https://www.futwiz.com/en/fc25/player/lucio/19074;91;97; ;ITA 1;Brasil;84;74;76;79;93;91
79;sophia smith;19594;https://www.futwiz.com/en/fc25/player/sophia-smith/19594;91;117;Portland Thorns ;USA F;Estados Unidos;95;89;80;92;46;87
80;sophia smith;19595;https://www.futwiz.com/en/fc25/player/sophia-smith/19595;91;117;Portland Thorns ;USA F;Estados Unidos;96;87;86;91;46;86
81;florian wirtz;19533;https://www.futwiz.com/en/fc25/player/florian-wirtz/19533;91;117;Leverkusen ;GER 1;Alemania;86;83;91;92;80;84
82;florian wirtz;19535;https://www.futwiz.com/en/fc25/player/florian-wirtz/19535;91;117;Leverkusen ;GER 1;Alemania;87;84;90;92;54;73
83;jude bellingham;19049;https://www.futwiz.com/en/fc25/player/jude-bellingham/19049;91;gold-if;Real Madrid ;ESP 1;Inglaterra;82;88;84;89;80;84
84;gabriel martinelli;20575;https://www.futwiz.com/en/fc25/player/gabriel-martinelli/20575;91;108;Arsenal ;ENG 1;Brasil;95;86;85;93;63;82
85;eduardo camavinga;20418;https://www.futwiz.com/en/fc25/player/eduardo-camavinga/20418;91;108;Real Madrid ;ESP 1;Francia;86;81;88;91;84;90
86;xavi simons;19141;https://www.futwiz.com/en/fc25/player/xavi-simons/19141;91;34;RB Leipzig ;GER 1;Holanda;89;85;90;92;69;79
87;eusebio;18445;https://www.futwiz.com/en/fc25/player/eusebio/18445;91;12;Icons ;ICO;Portugal;92;92;84;91;44;77
88;aitana bonmati;86;https://www.futwiz.com/en/fc25/player/aitana-bonmati/86;91;gold;FC Barcelona ;ESP F;España;81;86;86;91;77;75
89;eder militao;20557;https://www.futwiz.com/en/fc25/player/eder-militao/20557;91;108;Real Madrid ;ESP 1;Brasil;88;60;85;87;91;89
90;erling haaland;59;https://www.futwiz.com/en/fc25/player/erling-haaland/59;91;gold;Manchester City ;ENG 1;Noruega;88;92;70;81;45;88
91;federico valverde;19298;https://www.futwiz.com/en/fc25/player/federico-valverde/19298;91;33;Real Madrid ;ESP 1;Uruguay;91;86;89;89;84;87
92;vini jr.;18640;https://www.futwiz.com/en/fc25/player/vini-jr./18640;91;gold-if;Real Madrid ;ESP 1;Brasil;96;85;82;92;31;71
93;alessandro del piero;19350;https://www.futwiz.com/en/fc25/player/alessandro-del-piero/19350;91;85;Icons ;ICO;Italia;86;91;88;92;42;68
94;ibrahima konate;19210;https://www.futwiz.com/en/fc25/player/ibrahima-konate/19210;91;95;Liverpool ;ENG 1;Francia;84;42;68;77;90;91
95;kai havertz;18718;https://www.futwiz.com/en/fc25/player/kai-havertz/18718;91;50;Arsenal ;ENG 1;Alemania;85;89;88;91;57;80
96;rodri;60;https://www.futwiz.com/en/fc25/player/rodri/60;91;gold;Manchester City ;ENG 1;España;66;80;86;84;87;85
97;kylian mbappe;61;https://www.futwiz.com/en/fc25/player/kylian-mbappe/61;91;gold;Real Madrid ;ESP 1;Francia;97;90;80;92;36;78
98;lautaro martinez;19013;https://www.futwiz.com/en/fc25/player/lautaro-martinez/19013;91;151;Lombardia FC ;ITA 1;Argentina;85;91;78;90;56;87
99;frenkie de jong;19489;https://www.futwiz.com/en/fc25/player/frenkie-de-jong/19489;91;117;FC Barcelona ;ESP 1;Holanda;88;80;99;91;83;85
100;frenkie de jong;19490;https://www.futwiz.com/en/fc25/player/frenkie-de-jong/19490;91;117;FC Barcelona ;ESP 1;Holanda;88;76;89;91;85;90
101;guro reiten;19266;https://www.futwiz.com/en/fc25/player/guro-reiten/19266;91;33;Chelsea ;;Noruega;91;86;89;89;64;69
102;kelly smith;19268;https://www.futwiz.com/en/fc25/player/kelly-smith/19268;91;157;Icons ;ICO;Inglaterra;90;92;86;91;48;81
103;alexia putellas;18822;https://www.futwiz.com/en/fc25/player/alexia-putellas/18822;91;94;FC Barcelona ;ESP F;España;83;90;91;92;74;80
104;caroline hansen;18797;https://www.futwiz.com/en/fc25/player/caroline-hansen/18797;91;gold-if;FC Barcelona ;ESP F;Noruega;90;88;89;91;49;78
105;homare sawa;18453;https://www.futwiz.com/en/fc25/player/homare-sawa/18453;91;12;Icons ;ICO;Japon;84;87;91;91;83;76
106;celia sasic;8;https://www.futwiz.com/en/fc25/player/celia-sasic/8;91;161; ;GER F;Alemania;86;91;79;86;51;87
107;alisson;20558;https://www.futwiz.com/en/fc25/player/alisson/20558;91;108;Liverpool ;ENG 1;Brasil;89;87;87;91;58;92
108;paulo dybala;18717;https://www.futwiz.com/en/fc25/player/paulo-dybala/18717;91;46;AS Roma ;ITA 1;Argentina;84;88;88;92;47;71
109;mohamed salah;19420;https://www.futwiz.com/en/fc25/player/mohamed-salah/19420;91;28;Liverpool ;ENG 1;Egipto;91;89;85;91;52;78
110;harry kane;18850;https://www.futwiz.com/en/fc25/player/harry-kane/18850;91;gold-if;FC Bayern Munchen ;GER 1;Inglaterra;70;94;85;84;50;84
111;kevin de bruyne;18770;https://www.futwiz.com/en/fc25/player/kevin-de-bruyne/18770;91;94;Manchester City ;ENG 1;Belgica;80;88;95;88;70;80
112;marco van basten;18447;https://www.futwiz.com/en/fc25/player/marco-van-basten/18447;91;12;Icons ;ICO;Holanda;84;92;74;87;37;73
113;neymar jr;19531;https://www.futwiz.com/en/fc25/player/neymar-jr/19531;91;117;Al Hilal ;SAU 1;Brasil;91;90;88;95;41;70
114;neymar jr;19532;https://www.futwiz.com/en/fc25/player/neymar-jr/19532;91;117;Al Hilal ;SAU 1;Brasil;88;86;90;99;41;66
115;kyle walker;20576;https://www.futwiz.com/en/fc25/player/kyle-walker/20576;91;108;Manchester City ;ENG 1;Inglaterra;93;71;83;85;90;91
116;eden hazard;19491;https://www.futwiz.com/en/fc25/player/eden-hazard/19491;91;49; ;ENG 1;Belgica;94;87;87;94;42;72
117;ronald koeman;20622;https://www.futwiz.com/en/fc25/player/ronald-koeman/20622;91;155;Icons ;ICO;Holanda;82;88;88;84;90;91
118;carlos alberto;18449;https://www.futwiz.com/en/fc25/player/carlos-alberto/18449;91;12;Icons ;ICO;Brasil;89;64;80;84;88;85
119;franco baresi;18448;https://www.futwiz.com/en/fc25/player/franco-baresi/18448;91;12;Icons ;ICO;Italia;73;48;75;70;94;83
120;zico;18451;https://www.futwiz.com/en/fc25/player/zico/18451;91;12;Icons ;ICO;Brasil;89;92;91;91;62;71
121;franck ribery;19011;https://www.futwiz.com/en/fc25/player/franck-ribery/19011;91;168;Icons ;ICO;Francia;91;88;88;92;42;70
122;julie foudy;19010;https://www.futwiz.com/en/fc25/player/julie-foudy/19010;91;168;Icons ;ICO;Estados Unidos;82;86;91;88;80;83
123;wayne rooney;19299;https://www.futwiz.com/en/fc25/player/wayne-rooney/19299;91;157;Icons ;ICO;Inglaterra;91;92;85;89;57;90
124;xavi;19488;https://www.futwiz.com/en/fc25/player/xavi/19488;91;35;Icons ;ICO;España;85;82;93;91;75;75
125;cafu;18452;https://www.futwiz.com/en/fc25/player/cafu/18452;91;12;Icons ;ICO;Brasil;90;56;83;85;88;83
126;thierry henry;18446;https://www.futwiz.com/en/fc25/player/thierry-henry/18446;91;12;Icons ;ICO;Francia;93;90;82;89;51;78
127;gianluigi buffon;19534;https://www.futwiz.com/en/fc25/player/gianluigi-buffon/19534;91;35;Icons ;ICO;Italia;84;91;85;87;89;86
128;gianluigi buffon;30;https://www.futwiz.com/en/fc25/player/gianluigi-buffon/30;91;12;Icons ;ICO;Italia;94;86;78;93;51;89
129;roberto baggio;18450;https://www.futwiz.com/en/fc25/player/roberto-baggio/18450;91;12;Icons ;ICO;Italia;84;82;90;91;38;60
130;david beckham;19012;https://www.futwiz.com/en/fc25/player/david-beckham/19012;91;168;Icons ;ICO;Inglaterra;85;88;94;88;72;83
131;carlos tevez;19537;https://www.futwiz.com/en/fc25/player/carlos-tevez/19537;90;49; ;ENG 1;Argentina;88;91;82;87;47;90
132;alejandro garnacho;18719;https://www.futwiz.com/en/fc25/player/alejandro-garnacho/18719;90;46;Man Utd ;ENG 1;Argentina;93;87;85;90;47;72
133;naomi girma;20623;https://www.futwiz.com/en/fc25/player/naomi-girma/20623;90;64;San Diego Wave ;USA F;Estados Unidos;82;60;75;81;91;87
134;lauren james;18772;https://www.futwiz.com/en/fc25/player/lauren-james/18772;90;94;Chelsea ;;Inglaterra;93;85;84;91;45;87
135;balde;20561;https://www.futwiz.com/en/fc25/player/balde/20561;90;108;FC Barcelona ;ESP 1;España;96;57;84;85;88;82
136;florian wirtz;18826;https://www.futwiz.com/en/fc25/player/florian-wirtz/18826;90;94;Leverkusen ;GER 1;Alemania;85;81;89;91;53;70
137;georges mikautadze;20625;https://www.futwiz.com/en/fc25/player/georges-mikautadze/20625;90;64;OL ;FRA 1;Georgia;90;91;84;92;53;84
138;jeremie frimpong;18668;https://www.futwiz.com/en/fc25/player/jeremie-frimpong/18668;90;50;Leverkusen ;GER 1;Holanda;96;68;81;92;82;77
139;jude bellingham;58;https://www.futwiz.com/en/fc25/player/jude-bellingham/58;90;gold;Real Madrid ;ESP 1;Inglaterra;80;87;83;88;78;83
140;vincent kompany;19536;https://www.futwiz.com/en/fc25/player/vincent-kompany/19536;90;49; ;ENG 1;Belgica;82;63;77;75;92;90
141;christiane endler;20562;https://www.futwiz.com/en/fc25/player/christiane-endler/20562;90;108;OL ;FRA F;Chile;90;84;86;92;46;90
142;william saliba;19276;https://www.futwiz.com/en/fc25/player/william-saliba/19276;90;33;Arsenal ;ENG 1;Francia;86;42;73;77;90;88
143;viktor gyokeres;19267;https://www.futwiz.com/en/fc25/player/viktor-gyokeres/19267;90;33;Sporting CP ;POR 1;Suecia;93;88;75;86;43;94
144;ouleymata sarr;20577;https://www.futwiz.com/en/fc25/player/ouleymata-sarr/20577;90;108;Washington Spirit ;USA F;Francia;96;87;84;90;52;81
145;jill roord;20396;https://www.futwiz.com/en/fc25/player/jill-roord/20396;90;108;Manchester City ;;Holanda;83;88;90;90;60;84
146;vini jr.;57;https://www.futwiz.com/en/fc25/player/vini-jr./57;90;gold;Real Madrid ;ESP 1;Brasil;95;84;81;91;29;69
147;lothar matthaus;18467;https://www.futwiz.com/en/fc25/player/lothar-matthaus/18467;90;12;Icons ;ICO;Alemania;88;87;88;81;89;82
148;roberto carlos;18457;https://www.futwiz.com/en/fc25/player/roberto-carlos/18457;90;12;Icons ;ICO;Brasil;91;83;83;80;85;86
149;patrick vieira;19273;https://www.futwiz.com/en/fc25/player/patrick-vieira/19273;90;157;Icons ;ICO;Francia;84;81;82;85;90;92
150;dennis bergkamp;18468;https://www.futwiz.com/en/fc25/player/dennis-bergkamp/18468;90;12;Icons ;ICO;Holanda;83;89;84;88;35;76
151;carles puyol;19596;https://www.futwiz.com/en/fc25/player/carles-puyol/19596;90;35;Icons ;ICO;España;80;47;81;78;92;89
152;alessandro del piero;18464;https://www.futwiz.com/en/fc25/player/alessandro-del-piero/18464;90;12;Icons ;ICO;Italia;83;90;87;91;41;66
153;mapi leon;20398;https://www.futwiz.com/en/fc25/player/mapi-leon/20398;90;108;FC Barcelona ;ESP F;España;85;74;88;81;91;86
154;declan rice;19493;https://www.futwiz.com/en/fc25/player/declan-rice/19493;90;117;Arsenal ;ENG 1;Inglaterra;82;75;85;84;88;90
155;vivianne miedema;18720;https://www.futwiz.com/en/fc25/player/vivianne-miedema/18720;90;31;Manchester City ;;Holanda;87;89;77;90;42;85
156;sakina karchaoui;19270;https://www.futwiz.com/en/fc25/player/sakina-karchaoui/19270;90;33;Paris SG ;FRA F;Francia;92;69;85;90;86;71
157;cristian romero;18667;https://www.futwiz.com/en/fc25/player/cristian-romero/18667;90;46;Spurs ;ENG 1;Argentina;82;51;64;71;90;86
158;exequiel palacios;19146;https://www.futwiz.com/en/fc25/player/exequiel-palacios/19146;90;34;Leverkusen ;GER 1;Argentina;83;81;85;90;90;79
159;lautaro martinez;18690;https://www.futwiz.com/en/fc25/player/lautaro-martinez/18690;90;gold-if;Lombardia FC ;ITA 1;Argentina;84;89;77;88;55;86
160;gianluigi donnarumma;19015;https://www.futwiz.com/en/fc25/player/gianluigi-donnarumma/19015;90;151;Paris SG ;FRA 1;Italia;91;86;75;91;54;88
161;camille abily;18460;https://www.futwiz.com/en/fc25/player/camille-abily/18460;90;12;Icons ;ICO;Francia;82;89;90;89;80;78
162;alexia putellas;85;https://www.futwiz.com/en/fc25/player/alexia-putellas/85;90;gold;FC Barcelona ;ESP F;España;82;89;90;91;72;78
163;alex remiro;20563;https://www.futwiz.com/en/fc25/player/alex-remiro/20563;90;108;Real Sociedad ;ESP 1;España;90;86;89;90;50;89
164;sam kerr;83;https://www.futwiz.com/en/fc25/player/sam-kerr/83;90;gold;Chelsea ;;Australia;85;88;74;90;42;83
165;caroline hansen;84;https://www.futwiz.com/en/fc25/player/caroline-hansen/84;90;gold;FC Barcelona ;ESP F;Noruega;89;87;88;90;47;76
166;aya miyama;35;https://www.futwiz.com/en/fc25/player/aya-miyama/35;90;12;Icons ;ICO;Japon;84;86;88;90;60;70
167;george best;18465;https://www.futwiz.com/en/fc25/player/george-best/18465;90;12;Icons ;ICO;Irlanda N.;91;89;82;92;56;68
168;lotta schelin;31;https://www.futwiz.com/en/fc25/player/lotta-schelin/31;90;12;Icons ;ICO;Suecia;91;89;82;89;46;82
169;alexandra popp;18936;https://www.futwiz.com/en/fc25/player/alexandra-popp/18936;90;22;VfL Wolfsburg ;GER F;Alemania;83;91;80;87;54;93
170;martin odegaard;19423;https://www.futwiz.com/en/fc25/player/martin-odegaard/19423;90;28;Arsenal ;ENG 1;Noruega;82;85;90;90;68;67
171;ruud gullit;18463;https://www.futwiz.com/en/fc25/player/ruud-gullit/18463;90;12;Icons ;ICO;Holanda;85;88;88;86;80;87
172;leon goretzka;20525;https://www.futwiz.com/en/fc25/player/leon-goretzka/20525;90;108;FC Bayern Munchen ;GER 1;Alemania;83;85;87;89;85;92
173;mohamed salah;18823;https://www.futwiz.com/en/fc25/player/mohamed-salah/18823;90;94;Liverpool ;ENG 1;Egipto;90;88;83;90;50;76
174;mohamed salah;19050;https://www.futwiz.com/en/fc25/player/mohamed-salah/19050;90;gold-if;Liverpool ;ENG 1;Egipto;90;88;84;89;47;76
175;marquinhos;19351;https://www.futwiz.com/en/fc25/player/marquinhos/19351;90;82;Paris SG ;FRA 1;Brasil;83;62;80;77;92;87
176;jordan pickford;20559;https://www.futwiz.com/en/fc25/player/jordan-pickford/20559;90;108;Everton ;ENG 1;Inglaterra;90;84;92;90;58;86
177;virgil van dijk;19321;https://www.futwiz.com/en/fc25/player/virgil-van-dijk/19321;90;gold-if;Liverpool ;ENG 1;Holanda;80;61;73;72;90;87
178;harry kane;55;https://www.futwiz.com/en/fc25/player/harry-kane/55;90;gold;FC Bayern Munchen ;GER 1;Inglaterra;65;93;84;83;49;82
179;heung min son;19597;https://www.futwiz.com/en/fc25/player/heung-min-son/19597;90;117;Spurs ;ENG 1;Rep. Corea;91;93;85;89;47;77
180;heung min son;19598;https://www.futwiz.com/en/fc25/player/heung-min-son/19598;90;117;Spurs ;ENG 1;Rep. Corea;90;92;87;90;50;77
181;lewis dunk;20395;https://www.futwiz.com/en/fc25/player/lewis-dunk/20395;90;108;Brighton ;ENG 1;Inglaterra;83;63;78;81;90;91
182;james rodriguez;20397;https://www.futwiz.com/en/fc25/player/james-rodriguez/20397;90;108;Rayo Vallecano ;ESP 1;Colombia;86;90;89;86;65;77
183;cuadrado ;20564;https://www.futwiz.com/en/fc25/player/cuadrado-/20564;90;108;Bergamo Calcio ;ITA 1;Colombia;93;83;87;92;82;81
184;kevin de bruyne;56;https://www.futwiz.com/en/fc25/player/kevin-de-bruyne/56;90;gold;Manchester City ;ENG 1;Belgica;67;87;94;87;65;78
185;thibaut courtois;19076;https://www.futwiz.com/en/fc25/player/thibaut-courtois/19076;90;96;Real Madrid ;ESP 1;Belgica;86;90;77;91;48;90
186;david ginola;19075;https://www.futwiz.com/en/fc25/player/david-ginola/19075;90;97; ;FRA 1;Francia;91;89;88;92;56;88
187;bobby moore;18466;https://www.futwiz.com/en/fc25/player/bobby-moore/18466;90;12;Icons ;ICO;Inglaterra;70;62;81;76;92;83
