Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Salih Ozcan,14867,https://www.futwiz.com/en/fifa22/player/salih-ozcan/14867,73,silver,69,62,69,75,69,73
Akihiro Ienaga,14868,https://www.futwiz.com/en/fifa22/player/akihiro-ienaga/14868,73,silver,75,70,73,72,39,66
Jon Morcillo,14869,https://www.futwiz.com/en/fifa22/player/jon-morcillo/14869,73,silver,76,74,71,75,37,59
Kwon Chang Hoon,14870,https://www.futwiz.com/en/fifa22/player/kwon-chang-hoon/14870,73,silver,71,67,72,77,49,55
Artur,14871,https://www.futwiz.com/en/fifa22/player/artur/14871,73,silver-nr,63,51,65,71,69,79
Dorukhan Tokoz,14872,https://www.futwiz.com/en/fifa22/player/dorukhan-tokoz/14872,73,silver,71,65,69,71,71,72
Jean-Ricner Bellegarde,14873,https://www.futwiz.com/en/fifa22/player/jean-ricner-bellegarde/14873,73,silver,79,60,69,75,69,69
Josan,14874,https://www.futwiz.com/en/fifa22/player/josan/14874,73,silver-nr,85,69,66,74,52,55
Vieirinha,14875,https://www.futwiz.com/en/fifa22/player/vieirinha/14875,73,silver,66,75,73,74,70,59
Omar Alderete,14876,https://www.futwiz.com/en/fifa22/player/omar-alderete/14876,73,silver,66,56,59,63,73,77
Sebastian De Maio,14877,https://www.futwiz.com/en/fifa22/player/sebastian-de-maio/14877,73,silver,54,33,39,51,75,77
Carraca,14878,https://www.futwiz.com/en/fifa22/player/carraca/14878,73,silver-nr,69,59,68,70,70,71
Leonardo Godoy,14879,https://www.futwiz.com/en/fifa22/player/leonardo-godoy/14879,73,silver,76,57,66,74,68,77
Jonatan Maidana,14880,https://www.futwiz.com/en/fifa22/player/jonatan-maidana/14880,73,libertadores,33,37,62,51,72,75
Raphael Holzhauser,14881,https://www.futwiz.com/en/fifa22/player/raphael-holzhauser/14881,73,silver,50,79,80,72,60,73
Florin Andone,14882,https://www.futwiz.com/en/fifa22/player/florin-andone/14882,73,silver-nr,73,71,62,73,51,71
Marc Guehi,14883,https://www.futwiz.com/en/fifa22/player/marc-guehi/14883,73,silver,71,31,49,64,74,72
Alexis Martin Arias,14884,https://www.futwiz.com/en/fifa22/player/alexis-martin-arias/14884,73,libertadores,74,70,71,75,52,72
Manolo Reina,14885,https://www.futwiz.com/en/fifa22/player/manolo-reina/14885,73,silver-nr,71,69,67,75,56,74
Akapo,14886,https://www.futwiz.com/en/fifa22/player/akapo/14886,73,silver,84,51,60,63,69,76
Claudio Bravo,14887,https://www.futwiz.com/en/fifa22/player/claudio-bravo/14887,73,silver,73,50,64,73,71,68
Mohamed Camara,14888,https://www.futwiz.com/en/fifa22/player/mohamed-camara/14888,73,silver,81,56,65,74,69,74
Adama Traore,14889,https://www.futwiz.com/en/fifa22/player/adama-traore/14889,73,silver,77,63,73,75,61,70
Igor Lichnovsky,14890,https://www.futwiz.com/en/fifa22/player/igor-lichnovsky/14890,73,silver,62,40,51,59,75,77
Tomas Guidara,14891,https://www.futwiz.com/en/fifa22/player/tomas-guidara/14891,73,libertadores,81,41,62,67,67,77
Emil Krafth,14892,https://www.futwiz.com/en/fifa22/player/emil-krafth/14892,73,silver,66,58,67,70,72,71
Scott Arfield,14893,https://www.futwiz.com/en/fifa22/player/scott-arfield/14893,73,silver-nr,55,68,71,73,66,73
Yeremy,14894,https://www.futwiz.com/en/fifa22/player/yeremy/14894,73,silver-nr,71,66,70,74,31,46
Maxime Colin,14895,https://www.futwiz.com/en/fifa22/player/maxime-colin/14895,73,silver-nr,75,34,63,69,70,74
Jeremain Lens,14896,https://www.futwiz.com/en/fifa22/player/jeremain-lens/14896,73,silver,77,70,69,76,36,69
Hordur Magnusson,14897,https://www.futwiz.com/en/fifa22/player/hordur-magnusson/14897,73,silver,69,50,68,61,74,74
Jason,14898,https://www.futwiz.com/en/fifa22/player/jason/14898,73,silver-nr,72,71,71,73,49,65
Daniel Bentley,14899,https://www.futwiz.com/en/fifa22/player/daniel-bentley/14899,73,silver-nr,77,66,68,73,46,72
Borja Sanchez,14900,https://www.futwiz.com/en/fifa22/player/borja-sanchez/14900,73,silver,76,69,72,73,41,65
David McGoldrick,14901,https://www.futwiz.com/en/fifa22/player/david-mcgoldrick/14901,73,silver,65,72,71,76,33,68
Oscar Sielva,14902,https://www.futwiz.com/en/fifa22/player/oscar-sielva/14902,73,silver,64,71,74,70,67,71
Brendan Chardonnet,14903,https://www.futwiz.com/en/fifa22/player/brendan-chardonnet/14903,73,silver,55,40,52,57,75,74
Kenny McLean,14904,https://www.futwiz.com/en/fifa22/player/kenny-mclean/14904,73,silver,65,70,70,72,65,73
Jeremy Toljan,14905,https://www.futwiz.com/en/fifa22/player/jeremy-toljan/14905,73,silver,86,42,62,69,66,67
Munir,14906,https://www.futwiz.com/en/fifa22/player/munir/14906,73,silver-nr,73,72,68,75,45,70
Callum Robinson,14907,https://www.futwiz.com/en/fifa22/player/callum-robinson/14907,73,silver,79,73,65,74,32,61
Reinhold Ranftl,14908,https://www.futwiz.com/en/fifa22/player/reinhold-ranftl/14908,73,silver,81,64,67,72,64,74
Andre Simoes,14909,https://www.futwiz.com/en/fifa22/player/andre-simoes/14909,73,silver,76,70,70,73,73,68
Tim Kleindienst,14910,https://www.futwiz.com/en/fifa22/player/tim-kleindienst/14910,73,silver,66,75,53,63,33,79
Joao Talocha,14911,https://www.futwiz.com/en/fifa22/player/joao-talocha/14911,73,silver-nr,71,38,62,67,69,76
Ezequiel Piovi,14912,https://www.futwiz.com/en/fifa22/player/ezequiel-piovi/14912,73,libertadores,73,60,69,69,70,70
Javier Correa,14913,https://www.futwiz.com/en/fifa22/player/javier-correa/14913,73,libertadores,65,73,52,70,31,78
Arnaud Kalimuendo,14914,https://www.futwiz.com/en/fifa22/player/arnaud-kalimuendo/14914,73,silver,82,73,52,74,29,65
Son,14915,https://www.futwiz.com/en/fifa22/player/son/14915,73,silver,84,50,64,71,67,72
Federico Mancuello,14916,https://www.futwiz.com/en/fifa22/player/federico-mancuello/14916,73,libertadores,65,64,77,71,57,66
Walace,14917,https://www.futwiz.com/en/fifa22/player/walace/14917,73,silver-nr,65,66,68,69,68,72
Diogo Leite,14918,https://www.futwiz.com/en/fifa22/player/diogo-leite/14918,73,silver,60,38,46,57,75,72
Javier Burrai,14919,https://www.futwiz.com/en/fifa22/player/javier-burrai/14919,73,libertadores,73,72,70,75,44,73
Niclas Eliasson,14920,https://www.futwiz.com/en/fifa22/player/niclas-eliasson/14920,73,silver,87,61,69,75,38,53
John Guidetti,14921,https://www.futwiz.com/en/fifa22/player/john-guidetti/14921,73,silver,56,75,67,71,38,71
Daniel Akpeyi,14922,https://www.futwiz.com/en/fifa22/player/daniel-akpeyi/14922,73,silver-nr,74,72,68,75,24,75
Andre Horta,14923,https://www.futwiz.com/en/fifa22/player/andre-horta/14923,73,silver,71,69,72,76,64,67
Mateu Morey,14924,https://www.futwiz.com/en/fifa22/player/mateu-morey/14924,73,silver,75,46,67,76,68,62
Sandro,14925,https://www.futwiz.com/en/fifa22/player/sandro/14925,73,silver,52,67,67,67,74,71
Matej Jonjic,14926,https://www.futwiz.com/en/fifa22/player/matej-jonjic/14926,73,silver,68,45,49,49,76,78
Mattias Svanberg,14927,https://www.futwiz.com/en/fifa22/player/mattias-svanberg/14927,73,silver,77,66,74,76,62,68
Albert Sambi Lokonga,14928,https://www.futwiz.com/en/fifa22/player/albert-sambi-lokonga/14928,73,silver,66,58,72,77,67,69
Fer Nino,14929,https://www.futwiz.com/en/fifa22/player/fer-nino/14929,73,silver,67,74,59,68,35,69
Daniel Didavi,14930,https://www.futwiz.com/en/fifa22/player/daniel-didavi/14930,73,silver,58,76,73,75,49,68
Jack Butland,14931,https://www.futwiz.com/en/fifa22/player/jack-butland/14931,73,silver-nr,73,68,66,75,57,74
Fernando Boldrin,14932,https://www.futwiz.com/en/fifa22/player/fernando-boldrin/14932,73,silver-nr,66,69,72,71,59,64
Pozo,14933,https://www.futwiz.com/en/fifa22/player/pozo/14933,73,silver,74,72,71,75,61,58
Havard Nordtveit,14934,https://www.futwiz.com/en/fifa22/player/havard-nordtveit/14934,73,silver,54,53,69,65,74,72
Devyne Rensch,14935,https://www.futwiz.com/en/fifa22/player/devyne-rensch/14935,73,silver-nr,80,55,64,71,70,69
Moises,14936,https://www.futwiz.com/en/fifa22/player/moises/14936,73,silver,68,74,72,71,71,74
Eiji Kawashima,14937,https://www.futwiz.com/en/fifa22/player/eiji-kawashima/14937,73,silver-nr,72,71,72,73,43,73
Gian Marco Ferrari,14938,https://www.futwiz.com/en/fifa22/player/gian-marco-ferrari/14938,73,silver,53,27,39,49,75,79
Ivo Rodrigues,14939,https://www.futwiz.com/en/fifa22/player/ivo-rodrigues/14939,73,silver-nr,75,70,69,75,39,64
Roberto Inglese,14940,https://www.futwiz.com/en/fifa22/player/roberto-inglese/14940,73,silver,51,73,49,67,27,66
Diego Gonzalez,14941,https://www.futwiz.com/en/fifa22/player/diego-gonzalez/14941,73,libertadores,66,65,70,71,68,79
Everaldo,14942,https://www.futwiz.com/en/fifa22/player/everaldo/14942,73,silver,78,73,61,70,43,77
Oguzhan Ozyakup,14943,https://www.futwiz.com/en/fifa22/player/oguzhan-ozyakup/14943,73,silver,64,68,77,78,58,63
Dennis Geiger,14944,https://www.futwiz.com/en/fifa22/player/dennis-geiger/14944,73,silver,58,47,71,78,55,58
Robert Rojas,14945,https://www.futwiz.com/en/fifa22/player/robert-rojas/14945,73,libertadores,79,53,60,63,73,75
Dani Gomez,14946,https://www.futwiz.com/en/fifa22/player/dani-gomez/14946,73,silver,78,74,60,73,37,63
Adrian Marin,14947,https://www.futwiz.com/en/fifa22/player/adrian-marin/14947,73,silver-nr,69,46,63,69,71,69
Arnaud Nordin,14948,https://www.futwiz.com/en/fifa22/player/arnaud-nordin/14948,73,silver-nr,80,69,68,75,37,58
Ercan Kara,14949,https://www.futwiz.com/en/fifa22/player/ercan-kara/14949,73,silver,75,75,51,61,28,85
Josh Dasilva,14950,https://www.futwiz.com/en/fifa22/player/josh-dasilva/14950,73,silver,74,70,73,74,62,75
Manu Garcia,14951,https://www.futwiz.com/en/fifa22/player/manu-garcia/14951,73,silver,78,69,72,75,40,56
Juan Pablo Vigon,14952,https://www.futwiz.com/en/fifa22/player/juan-pablo-vigon/14952,73,silver-nr,70,61,69,69,68,79
Denys Boyko,14953,https://www.futwiz.com/en/fifa22/player/denys-boyko/14953,73,silver-nr,76,67,68,72,49,75
Lucas Chaves,14954,https://www.futwiz.com/en/fifa22/player/lucas-chaves/14954,73,libertadores,76,69,66,74,49,74
Mame Diouf,14955,https://www.futwiz.com/en/fifa22/player/mame-diouf/14955,73,silver,74,71,60,67,55,81
Bebe,14956,https://www.futwiz.com/en/fifa22/player/bebe/14956,73,silver,82,78,69,71,41,84
Juan Cruz,14957,https://www.futwiz.com/en/fifa22/player/juan-cruz/14957,73,silver-nr,75,40,60,63,69,73
Ousseynou Ba,14958,https://www.futwiz.com/en/fifa22/player/ousseynou-ba/14958,73,silver-nr,69,31,46,56,72,79
Valentin Stocker,14959,https://www.futwiz.com/en/fifa22/player/valentin-stocker/14959,73,silver,66,68,75,73,48,66
Carlos Auzqui,14960,https://www.futwiz.com/en/fifa22/player/carlos-auzqui/14960,73,sudamericana,84,71,68,72,51,82
Mateo Pavlovic,14961,https://www.futwiz.com/en/fifa22/player/mateo-pavlovic/14961,73,silver,31,59,51,53,73,82
Kunde Malong,14962,https://www.futwiz.com/en/fifa22/player/kunde-malong/14962,73,silver,83,68,68,71,68,81
Joris van Overeem,14963,https://www.futwiz.com/en/fifa22/player/joris-van-overeem/14963,73,silver,68,57,71,76,68,63
Samir,14964,https://www.futwiz.com/en/fifa22/player/samir/14964,73,silver,60,33,55,57,75,73
Thembinkosi Lorch,14965,https://www.futwiz.com/en/fifa22/player/thembinkosi-lorch/14965,73,silver-nr,78,70,69,72,46,55
Nahuel Molina,14966,https://www.futwiz.com/en/fifa22/player/nahuel-molina/14966,73,silver,78,64,67,72,68,66
Kevin Danso,14967,https://www.futwiz.com/en/fifa22/player/kevin-danso/14967,73,silver,78,32,45,56,72,76
Enric Gallego,14968,https://www.futwiz.com/en/fifa22/player/enric-gallego/14968,73,silver,57,76,56,67,25,70
Nahuel Bustos,14969,https://www.futwiz.com/en/fifa22/player/nahuel-bustos/14969,73,silver-nr,80,73,66,76,33,68
Jhon Murillo,14970,https://www.futwiz.com/en/fifa22/player/jhon-murillo/14970,73,silver,92,68,62,77,36,49
Franco Fragapane,14971,https://www.futwiz.com/en/fifa22/player/franco-fragapane/14971,73,silver,88,67,68,77,36,54
Lucas Joao,14972,https://www.futwiz.com/en/fifa22/player/lucas-joao/14972,73,silver,73,73,60,73,27,71
Wylan Cyprien,14973,https://www.futwiz.com/en/fifa22/player/wylan-cyprien/14973,73,silver,72,71,73,74,73,73
Branimir Hrgota,14974,https://www.futwiz.com/en/fifa22/player/branimir-hrgota/14974,73,silver,73,73,65,74,27,65
Joe Aribo,14975,https://www.futwiz.com/en/fifa22/player/joe-aribo/14975,73,silver,84,67,71,77,67,71
Rafael Silva,14976,https://www.futwiz.com/en/fifa22/player/rafael-silva/14976,73,silver,85,73,67,74,30,69
Edgar Mendez,14977,https://www.futwiz.com/en/fifa22/player/edgar-mendez/14977,73,silver,74,71,70,70,43,77
Juan Gabriel Rodriguez,14978,https://www.futwiz.com/en/fifa22/player/juan-gabriel-rodriguez/14978,73,libertadores,69,39,59,64,72,77
Jose Ivan Rodriguez,14979,https://www.futwiz.com/en/fifa22/player/jose-ivan-rodriguez/14979,73,silver,68,44,66,67,73,58
Joakim Nilsson,14980,https://www.futwiz.com/en/fifa22/player/joakim-nilsson/14980,73,silver,60,32,54,55,74,74
Ibrahim Traore,14981,https://www.futwiz.com/en/fifa22/player/ibrahim-traore/14981,73,silver,62,63,70,75,72,81
Marcelo,14982,https://www.futwiz.com/en/fifa22/player/marcelo/14982,73,silver,68,26,53,54,74,67
Henrik Dalsgaard,14983,https://www.futwiz.com/en/fifa22/player/henrik-dalsgaard/14983,73,silver,73,57,62,66,72,72
Sam Byram,14984,https://www.futwiz.com/en/fifa22/player/sam-byram/14984,73,silver-nr,71,60,66,71,71,68
Julio Cesar Dominguez,14985,https://www.futwiz.com/en/fifa22/player/julio-cesar-dominguez/14985,73,silver,65,41,60,61,74,75
Borja Baston,14785,https://www.futwiz.com/en/fifa22/player/borja-baston/14785,73,silver,45,75,61,65,38,76
Nicolai Jorgensen,15035,https://www.futwiz.com/en/fifa22/player/nicolai-jorgensen/15035,73,silver,65,73,70,71,39,74
Oscar Duarte,15036,https://www.futwiz.com/en/fifa22/player/oscar-duarte/15036,73,silver,49,47,51,54,75,76
Konstantinos Mavropanos,15037,https://www.futwiz.com/en/fifa22/player/konstantinos-mavropanos/15037,73,silver,77,33,49,49,74,78
Alberto Brignoli,15038,https://www.futwiz.com/en/fifa22/player/alberto-brignoli/15038,73,silver-nr,72,72,75,73,32,73
Alexis Castro,15039,https://www.futwiz.com/en/fifa22/player/alexis-castro/15039,73,silver,77,71,72,77,64,67
Alex Vigo,15040,https://www.futwiz.com/en/fifa22/player/alex-vigo/15040,73,libertadores,83,51,65,73,68,69
Daniel Alvarez,15041,https://www.futwiz.com/en/fifa22/player/daniel-alvarez/15041,73,silver,89,59,70,74,32,60
Andy Yiadom,15042,https://www.futwiz.com/en/fifa22/player/andy-yiadom/15042,73,silver-nr,81,53,62,72,69,74
Kelvin Amian,15043,https://www.futwiz.com/en/fifa22/player/kelvin-amian/15043,73,silver,79,48,63,68,73,79
Ismael Sosa,15044,https://www.futwiz.com/en/fifa22/player/ismael-sosa/15044,73,silver-nr,77,70,69,73,46,70
Armand Lauriente,15045,https://www.futwiz.com/en/fifa22/player/armand-lauriente/15045,73,silver,76,72,70,76,33,45
Henrique Dourado,15046,https://www.futwiz.com/en/fifa22/player/henrique-dourado/15046,73,silver,68,75,63,66,34,80
Erick Cabaco,15047,https://www.futwiz.com/en/fifa22/player/erick-cabaco/15047,73,silver,54,41,48,54,74,76
Alexis Canelo,15048,https://www.futwiz.com/en/fifa22/player/alexis-canelo/15048,73,silver,86,76,64,72,28,72
Massadio Haidara,15049,https://www.futwiz.com/en/fifa22/player/massadio-haidara/15049,73,silver,77,51,62,70,68,78
Gauthier Gallon,15050,https://www.futwiz.com/en/fifa22/player/gauthier-gallon/15050,73,silver-nr,73,71,72,74,40,73
Manuel Gulde,15051,https://www.futwiz.com/en/fifa22/player/manuel-gulde/15051,73,silver,66,40,52,59,74,71
Gustavo Assuncao,15052,https://www.futwiz.com/en/fifa22/player/gustavo-assuncao/15052,73,silver-nr,66,58,64,74,69,71
Mark Diemers,15053,https://www.futwiz.com/en/fifa22/player/mark-diemers/15053,73,silver,70,69,76,75,61,66
Robin Lod,15054,https://www.futwiz.com/en/fifa22/player/robin-lod/15054,73,silver-nr,72,72,71,73,54,69
Erick Aguirre,15055,https://www.futwiz.com/en/fifa22/player/erick-aguirre/15055,73,silver,90,54,68,70,67,71
Marcelo Benitez,15056,https://www.futwiz.com/en/fifa22/player/marcelo-benitez/15056,73,libertadores,73,67,74,72,67,82
Catena,15057,https://www.futwiz.com/en/fifa22/player/catena/15057,73,silver,68,39,54,50,74,78
Jarlan Barrera,15058,https://www.futwiz.com/en/fifa22/player/jarlan-barrera/15058,73,libertadores,73,65,73,75,42,57
Willem Janssen,15059,https://www.futwiz.com/en/fifa22/player/willem-janssen/15059,73,silver,34,63,68,66,72,74
Tomas Tavares,15060,https://www.futwiz.com/en/fifa22/player/tomas-tavares/15060,73,silver,79,47,61,74,70,71
Pol Llonch,15061,https://www.futwiz.com/en/fifa22/player/pol-llonch/15061,73,silver,77,50,60,65,73,78
Hidde ter Avest,15062,https://www.futwiz.com/en/fifa22/player/hidde-ter-avest/15062,73,silver,72,53,67,71,68,72
Michal Sacek,15063,https://www.futwiz.com/en/fifa22/player/michal-sacek/15063,73,silver-nr,75,63,71,74,69,71
Guilherme,15064,https://www.futwiz.com/en/fifa22/player/guilherme/15064,73,silver,85,73,64,74,26,62
Kevin Bonifazi,15065,https://www.futwiz.com/en/fifa22/player/kevin-bonifazi/15065,73,silver-nr,52,35,51,56,75,64
Bruno Henrique,15066,https://www.futwiz.com/en/fifa22/player/bruno-henrique/15066,73,silver,62,67,71,69,71,75
Paulinho,15067,https://www.futwiz.com/en/fifa22/player/paulinho/15067,73,silver,77,67,69,80,36,61
Barragan,15068,https://www.futwiz.com/en/fifa22/player/barragan/15068,73,silver-nr,69,52,66,66,71,73
Paul Seguin,15069,https://www.futwiz.com/en/fifa22/player/paul-seguin/15069,73,silver,66,59,69,71,68,75
Pedro Sa,15070,https://www.futwiz.com/en/fifa22/player/pedro-sa/15070,73,silver-nr,61,55,62,67,69,78
Ivan Oblyakov,15071,https://www.futwiz.com/en/fifa22/player/ivan-oblyakov/15071,73,silver,74,68,76,76,56,64
Riccardo Gagliolo,15072,https://www.futwiz.com/en/fifa22/player/riccardo-gagliolo/15072,73,silver,74,51,53,64,72,71
Fran Sol,15073,https://www.futwiz.com/en/fifa22/player/fran-sol/15073,73,silver,68,75,56,67,34,70
Jorge Carrascal,15074,https://www.futwiz.com/en/fifa22/player/jorge-carrascal/15074,73,libertadores,71,67,71,80,41,53
Marco Pereira,15075,https://www.futwiz.com/en/fifa22/player/marco-pereira/15075,73,silver-nr,72,68,76,73,57,72
Jake Cooper,15076,https://www.futwiz.com/en/fifa22/player/jake-cooper/15076,73,silver,53,32,48,52,73,77
Marcos Antonio,15077,https://www.futwiz.com/en/fifa22/player/marcos-antonio/15077,73,silver,84,65,69,77,59,49
Jean-Charles Castelletto,15078,https://www.futwiz.com/en/fifa22/player/jean-charles-castelletto/15078,73,silver,73,30,52,62,74,76
Francesco Bardi,15079,https://www.futwiz.com/en/fifa22/player/francesco-bardi/15079,73,silver-nr,75,71,65,76,49,70
Florian Tardieu,15080,https://www.futwiz.com/en/fifa22/player/florian-tardieu/15080,73,silver-nr,56,62,71,68,69,76
Yan Junling,15081,https://www.futwiz.com/en/fifa22/player/yan-junling/15081,73,silver-nr,72,70,69,74,49,72
Jake Livermore,15082,https://www.futwiz.com/en/fifa22/player/jake-livermore/15082,73,silver-nr,56,62,68,69,70,77
Tyler Boyd,15083,https://www.futwiz.com/en/fifa22/player/tyler-boyd/15083,73,silver-nr,85,71,65,76,18,64
Emre Kilinc,15084,https://www.futwiz.com/en/fifa22/player/emre-kilinc/15084,73,silver-nr,77,69,67,74,47,59
Douglas,15085,https://www.futwiz.com/en/fifa22/player/douglas/15085,73,silver,70,74,49,69,28,69
Trevoh Chalobah,108,https://www.futwiz.com/en/fifa22/player/trevoh-chalobah/108,73,silver,65,41,63,68,72,76
Rodrigo Pinho,174,https://www.futwiz.com/en/fifa22/player/rodrigo-pinho/174,73,silver-nr,65,77,60,73,25,61
Nanu,210,https://www.futwiz.com/en/fifa22/player/nanu/210,73,silver,86,62,64,74,67,73
Diogo Costa,211,https://www.futwiz.com/en/fifa22/player/diogo-costa/211,73,silver-nr,73,71,65,75,32,73
Japhet Tanganga,345,https://www.futwiz.com/en/fifa22/player/japhet-tanganga/345,73,silver,76,35,60,64,73,74
Andreas Linde,429,https://www.futwiz.com/en/fifa22/player/andreas-linde/429,73,silver-nr,76,68,66,76,48,73
Patrick Berg,430,https://www.futwiz.com/en/fifa22/player/patrick-berg/430,73,silver-nr,77,61,72,72,63,77
Alan Velasco,451,https://www.futwiz.com/en/fifa22/player/alan-velasco/451,73,silver,79,66,66,80,52,54
Juan Manuel Insaurralde,452,https://www.futwiz.com/en/fifa22/player/juan-manuel-insaurralde/452,73,silver,55,52,58,57,71,80
Yoon Bit Garam,19411,https://www.futwiz.com/en/fifa22/player/yoon-bit-garam/19411,73,silver,72,68,73,69,58,72
Hannes Wolf,19412,https://www.futwiz.com/en/fifa22/player/hannes-wolf/19412,73,silver,77,69,67,77,36,60
Nicolas Gavory,19413,https://www.futwiz.com/en/fifa22/player/nicolas-gavory/19413,73,silver,72,63,72,70,69,73
Nahuel Tenaglia,19414,https://www.futwiz.com/en/fifa22/player/nahuel-tenaglia/19414,73,silver-nr,72,43,63,72,71,76
Samir,19415,https://www.futwiz.com/en/fifa22/player/samir/19415,73,silver,60,33,55,57,75,73
Jhon Murillo,19416,https://www.futwiz.com/en/fifa22/player/jhon-murillo/19416,73,silver,92,68,62,77,36,49
Federico Mancuello,19417,https://www.futwiz.com/en/fifa22/player/federico-mancuello/19417,73,silver,65,64,77,71,57,66
Steve Cook,19418,https://www.futwiz.com/en/fifa22/player/steve-cook/19418,73,silver,49,34,54,58,74,73
Kacper Przybylko,19419,https://www.futwiz.com/en/fifa22/player/kacper-przybylko/19419,73,silver,68,71,58,68,28,79
Maximilian Ullmann,19420,https://www.futwiz.com/en/fifa22/player/maximilian-ullmann/19420,73,silver,86,60,64,69,65,67
Abdulkadir Parmak,19421,https://www.futwiz.com/en/fifa22/player/abdulkadir-parmak/19421,73,silver,75,69,71,74,71,69
Younes Namli,19422,https://www.futwiz.com/en/fifa22/player/younes-namli/19422,73,silver,76,59,70,78,45,61
Khouma Babacar,19423,https://www.futwiz.com/en/fifa22/player/khouma-babacar/19423,73,silver,67,72,55,72,32,71
Daniel Alvarez,19424,https://www.futwiz.com/en/fifa22/player/daniel-alvarez/19424,73,silver,89,59,70,74,32,60
Jean Evrard Kouassi,19756,https://www.futwiz.com/en/fifa22/player/jean-evrard-kouassi/19756,73,silver-nr,88,71,59,74,31,67
Jordan Torunarigha,19757,https://www.futwiz.com/en/fifa22/player/jordan-torunarigha/19757,73,silver,74,34,63,65,75,74
Nicolai Jorgensen,19758,https://www.futwiz.com/en/fifa22/player/nicolai-jorgensen/19758,73,silver,65,73,70,71,39,74
Igor Lichnovsky,19759,https://www.futwiz.com/en/fifa22/player/igor-lichnovsky/19759,73,silver,62,40,51,59,75,77
Juan Ferney Otero,19760,https://www.futwiz.com/en/fifa22/player/juan-ferney-otero/19760,73,silver,91,74,65,74,31,71
Nathaniel Phillips,19761,https://www.futwiz.com/en/fifa22/player/nathaniel-phillips/19761,73,silver,53,30,49,51,73,78
Andreas Linde,19762,https://www.futwiz.com/en/fifa22/player/andreas-linde/19762,73,silver-nr,76,68,66,76,48,73
Iago,19763,https://www.futwiz.com/en/fifa22/player/iago/19763,73,silver,49,31,48,53,74,82
Khouma Babacar,19764,https://www.futwiz.com/en/fifa22/player/khouma-babacar/19764,73,silver,67,72,55,72,32,71
Ilaix Moriba,19765,https://www.futwiz.com/en/fifa22/player/ilaix-moriba/19765,73,silver,72,70,64,73,64,65
Ercan Kara,19766,https://www.futwiz.com/en/fifa22/player/ercan-kara/19766,73,silver,75,75,51,61,28,85
Timor,19767,https://www.futwiz.com/en/fifa22/player/timor/19767,73,silver,41,66,72,67,68,76
Enzo Crivelli,19768,https://www.futwiz.com/en/fifa22/player/enzo-crivelli/19768,73,silver,64,71,62,68,36,85
Panagiotis Retsos,19769,https://www.futwiz.com/en/fifa22/player/panagiotis-retsos/19769,73,silver,65,35,59,57,75,71
Alassane Ndao,19770,https://www.futwiz.com/en/fifa22/player/alassane-ndao/19770,73,silver-nr,82,65,67,74,31,47
Falaye Sacko,19771,https://www.futwiz.com/en/fifa22/player/falaye-sacko/19771,73,silver,92,45,60,72,65,71
Anel Ahmedhodzic,19772,https://www.futwiz.com/en/fifa22/player/anel-ahmedhodzic/19772,73,silver,77,32,59,63,71,75
Ilie Sanchez,19773,https://www.futwiz.com/en/fifa22/player/ilie-sanchez/19773,73,silver-nr,50,47,67,69,68,78
Daniel Ginczek,19774,https://www.futwiz.com/en/fifa22/player/daniel-ginczek/19774,73,silver,64,74,51,66,38,75
