Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Marcus Rashford,21446,https://www.futwiz.com/en/fifa22/player/marcus-rashford/21446,97,shapeshifter,99,97,93,96,55,91
Marcelo,21408,https://www.futwiz.com/en/fifa22/player/marcelo/21408,97,shapeshifter,96,94,95,98,90,88
Heung Min Son,21362,https://www.futwiz.com/en/fifa22/player/heung-min-son/21362,97,shapeshifter,97,97,93,96,52,82
Rafael Leao,21226,https://www.futwiz.com/en/fifa22/player/rafael-leao/21226,97,tots,99,95,90,98,47,90
Kylian Mbappe,21167,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/21167,97,tots,99,96,90,99,44,89
Lionel Messi,21166,https://www.futwiz.com/en/fifa22/player/lionel-messi/21166,97,tots,92,96,97,99,38,74
Luka Modric,21067,https://www.futwiz.com/en/fifa22/player/luka-modric/21067,97,tots,90,90,98,97,86,86
Joshua Kimmich,20995,https://www.futwiz.com/en/fifa22/player/joshua-kimmich/20995,97,tots,88,84,97,93,95,93
Robert Lewandowski,20991,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/20991,97,tots,92,97,86,94,49,94
Cristiano Ronaldo,20915,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/20915,97,tots,94,99,88,95,39,91
Mohamed Salah,20911,https://www.futwiz.com/en/fifa22/player/mohamed-salah/20911,97,tots,98,97,94,98,52,86
Ronaldo Nazario,20085,https://www.futwiz.com/en/fifa22/player/ronaldo-nazario/20085,97,iconmoment,98,97,83,97,46,79
Zinedine Zidane,20083,https://www.futwiz.com/en/fifa22/player/zinedine-zidane/20083,97,iconmoment,86,93,98,98,76,88
Cristiano Ronaldo,18592,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/18592,97,toty,93,98,88,95,39,92
Kylian Mbappe,18325,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/18325,97,toty,99,95,90,98,44,88
Jorginho,18323,https://www.futwiz.com/en/fifa22/player/jorginho/18323,97,toty,88,90,98,93,86,87
Ruben Dias,18320,https://www.futwiz.com/en/fifa22/player/ruben-dias/18320,97,toty,87,50,84,81,97,96
Diego Maradona,18157,https://www.futwiz.com/en/fifa22/player/diego-maradona/18157,97,icon,92,93,92,97,40,76
Kingsley Coman,21504,https://www.futwiz.com/en/fifa22/player/kingsley-coman/21504,96,futtieswinner,99,94,96,98,38,82
Joe Cole,21473,https://www.futwiz.com/en/fifa22/player/joe-cole/21473,96,shapehero,97,92,94,98,60,83
Marco Reus,21467,https://www.futwiz.com/en/fifa22/player/marco-reus/21467,96,moments,97,93,95,96,58,83
Leroy Sane,21449,https://www.futwiz.com/en/fifa22/player/leroy-sane/21449,96,shapeshifter,99,93,92,96,50,84
Jamie Vardy,21423,https://www.futwiz.com/en/fifa22/player/jamie-vardy/21423,96,moments,97,96,88,94,61,87
Fernandinho,21417,https://www.futwiz.com/en/fifa22/player/fernandinho/21417,96,sbcprem,89,86,92,94,96,93
Timo Werner,21405,https://www.futwiz.com/en/fifa22/player/timo-werner/21405,96,shapeshifter,99,95,91,96,50,88
Sergio Ramos,21404,https://www.futwiz.com/en/fifa22/player/sergio-ramos/21404,96,shapeshifter,97,95,90,93,90,91
Giorgio Chiellini,21368,https://www.futwiz.com/en/fifa22/player/giorgio-chiellini/21368,96,sbcprem,91,54,81,86,98,96
Alphonso Davies,21351,https://www.futwiz.com/en/fifa22/player/alphonso-davies/21351,96,shapeshifter,99,92,91,96,90,91
Eden Hazard,21350,https://www.futwiz.com/en/fifa22/player/eden-hazard/21350,96,shapeshifter,98,95,93,99,45,75
Lorenzo Insigne,21331,https://www.futwiz.com/en/fifa22/player/lorenzo-insigne/21331,96,sbcprem,97,93,95,98,47,60
Angel Di Maria,21328,https://www.futwiz.com/en/fifa22/player/angel-di-maria/21328,96,sbcprem,96,91,96,97,57,83
Domenico Berardi,21230,https://www.futwiz.com/en/fifa22/player/domenico-berardi/21230,96,tots,98,95,96,99,50,84
Ciro Immobile,21229,https://www.futwiz.com/en/fifa22/player/ciro-immobile/21229,96,tots,96,98,86,92,48,91
Dusan Vlahovic,21228,https://www.futwiz.com/en/fifa22/player/dusan-vlahovic/21228,96,tots,97,96,85,95,44,96
Paulo Dybala,21227,https://www.futwiz.com/en/fifa22/player/paulo-dybala/21227,96,tots,95,96,96,99,48,78
Neymar Jr,21168,https://www.futwiz.com/en/fifa22/player/neymar-jr/21168,96,tots,96,90,91,99,42,70
Pedri,21066,https://www.futwiz.com/en/fifa22/player/pedri/21066,96,tots,93,87,95,98,88,81
Vinicius Junior,21065,https://www.futwiz.com/en/fifa22/player/vinicius-junior/21065,96,tots,99,92,93,99,45,87
Christopher Nkunku,20993,https://www.futwiz.com/en/fifa22/player/christopher-nkunku/20993,96,tots,94,92,97,98,87,87
Jude Bellingham,20992,https://www.futwiz.com/en/fifa22/player/jude-bellingham/20992,96,tots,90,90,93,96,90,93
Harry Kane,20931,https://www.futwiz.com/en/fifa22/player/harry-kane/20931,96,tots,92,97,93,92,53,92
Sadio Mane,20914,https://www.futwiz.com/en/fifa22/player/sadio-mane/20914,96,tots,99,93,93,98,53,89
Virgil van Dijk,20913,https://www.futwiz.com/en/fifa22/player/virgil-van-dijk/20913,96,tots,87,71,80,81,98,94
Kevin De Bruyne,20912,https://www.futwiz.com/en/fifa22/player/kevin-de-bruyne/20912,96,tots,88,92,98,95,76,88
Luis Suarez,20827,https://www.futwiz.com/en/fifa22/player/luis-suarez/20827,96,tots,94,97,92,95,55,93
Sadio Mane,19458,https://www.futwiz.com/en/fifa22/player/sadio-mane/19458,96,uclrttf,99,92,91,96,53,88
Kevin De Bruyne,18324,https://www.futwiz.com/en/fifa22/player/kevin-de-bruyne/18324,96,toty,86,92,98,93,80,88
N'Golo Kante,18322,https://www.futwiz.com/en/fifa22/player/ngolo-kante/18322,96,toty,90,84,90,91,96,90
Gianluigi Donnarumma,18317,https://www.futwiz.com/en/fifa22/player/gianluigi-donnarumma/18317,96,toty,98,90,90,97,63,92
Kylian Mbappe,18193,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/18193,96,headliner4,99,93,90,97,44,86
Zinedine Zidane,18052,https://www.futwiz.com/en/fifa22/player/zinedine-zidane/18052,96,icon,85,92,96,95,75,86
Ronaldo Nazario,18051,https://www.futwiz.com/en/fifa22/player/ronaldo-nazario/18051,96,icon,97,95,81,95,45,76
Lionel Messi,313,https://www.futwiz.com/en/fifa22/player/lionel-messi/313,96,otw,89,95,94,98,38,72
Federico Chiesa,21518,https://www.futwiz.com/en/fifa22/player/federico-chiesa/21518,95,futtieswinner,99,94,90,96,57,86
Rodrigo Javier De Paul,21497,https://www.futwiz.com/en/fifa22/player/rodrigo-javier-de-paul/21497,95,futtieswinner,93,91,94,96,89,91
Luis Diaz,21496,https://www.futwiz.com/en/fifa22/player/luis-diaz/21496,95,futtiesup,99,95,91,96,45,87
Presnel Kimpembe,21476,https://www.futwiz.com/en/fifa22/player/presnel-kimpembe/21476,95,shapeshifter,92,90,93,93,94,95
Kyle Walker,21475,https://www.futwiz.com/en/fifa22/player/kyle-walker/21475,95,shapeshifter,99,74,90,91,92,95
Matthijs de Ligt,21474,https://www.futwiz.com/en/fifa22/player/matthijs-de-ligt/21474,95,shapeshifter,90,87,91,92,94,96
James Maddison,21462,https://www.futwiz.com/en/fifa22/player/james-maddison/21462,95,shapeshifter,94,92,96,97,70,80
Trent Alexander-Arnold,21459,https://www.futwiz.com/en/fifa22/player/trent-alexander-arnold/21459,95,flashback,94,88,96,93,93,90
Mario Gomez,21451,https://www.futwiz.com/en/fifa22/player/mario-gomez/21451,95,shapehero,90,91,83,89,95,93
Federico Valverde,21450,https://www.futwiz.com/en/fifa22/player/federico-valverde/21450,95,shapeshifter,98,86,91,92,93,93
Adama Traore,21419,https://www.futwiz.com/en/fifa22/player/adama-traore/21419,95,shapeshifter,99,94,91,95,50,93
Silas,21407,https://www.futwiz.com/en/fifa22/player/silas/21407,95,shapeshifter,98,94,92,95,67,84
Stephan El Shaarawy,21406,https://www.futwiz.com/en/fifa22/player/stephan-el-shaarawy/21406,95,shapeshifter,97,95,93,96,57,78
Yannick Carrasco,21367,https://www.futwiz.com/en/fifa22/player/yannick-carrasco/21367,95,shapeshifter,99,98,92,96,56,85
Yannick Carrasco,21366,https://www.futwiz.com/en/fifa22/player/yannick-carrasco/21366,95,shapeshifter,97,92,96,98,70,85
Jack Grealish,21363,https://www.futwiz.com/en/fifa22/player/jack-grealish/21363,95,shapeshifter,95,93,95,97,54,83
Pierre-Emerick Aubameyang,21354,https://www.futwiz.com/en/fifa22/player/pierre-emerick-aubameyang/21354,95,shapeshifter,99,95,90,93,44,83
Youcef Atal,21353,https://www.futwiz.com/en/fifa22/player/youcef-atal/21353,95,shapeshifter,99,90,94,96,91,90
Leonardo Spinazzola,21352,https://www.futwiz.com/en/fifa22/player/leonardo-spinazzola/21352,95,shapeshifter,99,84,90,95,92,90
Alexandre Lacazette,21348,https://www.futwiz.com/en/fifa22/player/alexandre-lacazette/21348,95,sbcprem,94,96,88,95,57,93
Carles Gil,21263,https://www.futwiz.com/en/fifa22/player/carles-gil/21263,95,tots,88,88,98,96,60,84
Oscar,21245,https://www.futwiz.com/en/fifa22/player/oscar/21245,95,tots,93,93,96,94,70,85
Lionel Messi,21234,https://www.futwiz.com/en/fifa22/player/lionel-messi/21234,95,motm,88,94,94,97,36,70
Theo Hernandez,21233,https://www.futwiz.com/en/fifa22/player/theo-hernandez/21233,95,tots,99,85,90,93,92,94
Kalidou Koulibaly,21232,https://www.futwiz.com/en/fifa22/player/kalidou-koulibaly/21232,95,tots,91,36,75,83,97,96
Sandro Tonali,21231,https://www.futwiz.com/en/fifa22/player/sandro-tonali/21231,95,tots,95,87,96,94,90,94
Marquinhos,21170,https://www.futwiz.com/en/fifa22/player/marquinhos/21170,95,tots,91,61,85,87,97,91
Wissam Ben Yedder,21169,https://www.futwiz.com/en/fifa22/player/wissam-ben-yedder/21169,95,tots,96,96,91,98,50,82
Joao Felix,21064,https://www.futwiz.com/en/fifa22/player/joao-felix/21064,95,tots,95,91,91,98,52,82
Eder Militao,21063,https://www.futwiz.com/en/fifa22/player/eder-militao/21063,95,tots,90,60,82,86,96,95
Thibaut Courtois,21062,https://www.futwiz.com/en/fifa22/player/thibaut-courtois/21062,95,tots,92,95,82,94,70,93
Florian Wirtz,20997,https://www.futwiz.com/en/fifa22/player/florian-wirtz/20997,95,tots,93,91,95,97,66,82
Erling Haaland,20996,https://www.futwiz.com/en/fifa22/player/erling-haaland/20996,95,tots,96,98,87,90,50,95
Manuel Neuer,20994,https://www.futwiz.com/en/fifa22/player/manuel-neuer/20994,95,tots,93,95,96,94,70,95
Heung Min Son,20919,https://www.futwiz.com/en/fifa22/player/heung-min-son/20919,95,tots,95,95,91,94,50,79
Ruben Dias,20918,https://www.futwiz.com/en/fifa22/player/ruben-dias/20918,95,tots,85,48,83,80,96,94
Joao Cancelo,20917,https://www.futwiz.com/en/fifa22/player/joao-cancelo/20917,95,tots,96,86,92,94,92,91
Alisson,20916,https://www.futwiz.com/en/fifa22/player/alisson/20916,95,tots,94,93,90,96,91,96
Hugo Lloris,20829,https://www.futwiz.com/en/fifa22/player/hugo-lloris/20829,95,tots,96,94,75,98,75,94
Ryan Gravenberch,20828,https://www.futwiz.com/en/fifa22/player/ryan-gravenberch/20828,95,tots,94,90,93,95,88,90
Ousmane Dembele,20470,https://www.futwiz.com/en/fifa22/player/ousmane-dembele/20470,95,fantasy2,99,93,90,97,45,75
Allan Saint-Maximin,20409,https://www.futwiz.com/en/fifa22/player/allan-saint-maximin/20409,95,fantasy2,99,93,89,98,33,84
Marcus Rashford,20408,https://www.futwiz.com/en/fifa22/player/marcus-rashford/20408,95,fantasy2,99,94,90,92,52,89
Paolo Maldini,20284,https://www.futwiz.com/en/fifa22/player/paolo-maldini/20284,95,iconmoment,87,65,77,70,98,85
Lev Yashin,20279,https://www.futwiz.com/en/fifa22/player/lev-yashin/20279,95,iconmoment,98,90,76,99,62,98
Johan Cruyff,20272,https://www.futwiz.com/en/fifa22/player/johan-cruyff/20272,95,iconmoment,92,94,92,98,43,75
Ronaldinho,20248,https://www.futwiz.com/en/fifa22/player/ronaldinho/20248,95,iconmoment,94,93,92,98,39,82
Garrincha,20183,https://www.futwiz.com/en/fifa22/player/garrincha/20183,95,iconmoment,92,89,96,97,42,73
Ferenc Puskas,20084,https://www.futwiz.com/en/fifa22/player/ferenc-puskas/20084,95,iconmoment,93,98,93,96,47,78
Gareth Bale,19460,https://www.futwiz.com/en/fifa22/player/gareth-bale/19460,95,uclrttf,99,96,94,94,66,94
Marquinhos,18319,https://www.futwiz.com/en/fifa22/player/marquinhos/18319,95,toty,90,61,85,86,97,90
Pele,17068,https://www.futwiz.com/en/fifa22/player/pele/17068,95,icon,96,93,90,95,56,75
Diego Maradona,17067,https://www.futwiz.com/en/fifa22/player/diego-maradona/17067,95,icon,88,91,90,95,42,75
Alexandre Pato,21519,https://www.futwiz.com/en/fifa22/player/alexandre-pato/21519,94,futtiesup,96,93,88,95,45,89
Matheus Cunha,21516,https://www.futwiz.com/en/fifa22/player/matheus-cunha/21516,94,futtiesup,98,94,91,96,46,86
Rafinha,21515,https://www.futwiz.com/en/fifa22/player/rafinha/21515,94,futtiesup,90,92,96,97,89,88
Renan Lodi,21514,https://www.futwiz.com/en/fifa22/player/renan-lodi/21514,94,futtiesup,97,82,91,94,91,92
Kai Havertz,21502,https://www.futwiz.com/en/fifa22/player/kai-havertz/21502,94,futtiesup,94,93,92,95,53,84
Reece James,21499,https://www.futwiz.com/en/fifa22/player/reece-james/21499,94,futtiesup,97,74,92,92,91,93
Mason Mount,21498,https://www.futwiz.com/en/fifa22/player/mason-mount/21498,94,futtiesup,93,91,96,97,87,81
Angel Correa,21490,https://www.futwiz.com/en/fifa22/player/angel-correa/21490,94,moments,94,95,89,96,57,82
David Silva,21488,https://www.futwiz.com/en/fifa22/player/david-silva/21488,94,shapeshifter,94,91,95,96,60,72
Tim Cahill,21487,https://www.futwiz.com/en/fifa22/player/tim-cahill/21487,94,shapehero,94,93,90,92,92,96
Ricardo Pereira,21485,https://www.futwiz.com/en/fifa22/player/ricardo-pereira/21485,94,flashback,94,83,92,93,94,90
Chris Wood,21484,https://www.futwiz.com/en/fifa22/player/chris-wood/21484,94,shapeshifter,93,70,90,84,94,96
Clint Dempsey,21477,https://www.futwiz.com/en/fifa22/player/clint-dempsey/21477,94,shapehero,94,94,93,96,82,90
Giovanni Reyna,21463,https://www.futwiz.com/en/fifa22/player/giovanni-reyna/21463,94,shapeshifter,96,89,91,99,53,88
Freddie Ljungberg,21452,https://www.futwiz.com/en/fifa22/player/freddie-ljungberg/21452,94,shapehero,95,92,93,95,53,86
Hirving Lozano,21420,https://www.futwiz.com/en/fifa22/player/hirving-lozano/21420,94,shapeshifter,99,94,89,96,52,80
Raphael Guerreiro,21412,https://www.futwiz.com/en/fifa22/player/raphael-guerreiro/21412,94,shapeshifter,94,90,94,95,87,86
Kieran Tierney,21411,https://www.futwiz.com/en/fifa22/player/kieran-tierney/21411,94,shapeshifter,93,67,87,85,94,91
Raphael Guerreiro,21410,https://www.futwiz.com/en/fifa22/player/raphael-guerreiro/21410,94,shapeshifter,98,85,90,91,93,91
Jesus Corona,21409,https://www.futwiz.com/en/fifa22/player/jesus-corona/21409,94,shapeshifter,95,92,93,94,88,88
Richarlison,21371,https://www.futwiz.com/en/fifa22/player/richarlison/21371,94,flashback,97,92,88,96,65,90
Andrew Robertson,21364,https://www.futwiz.com/en/fifa22/player/andrew-robertson/21364,94,shapeshifter,94,82,94,90,93,91
Pierre Kalulu,21356,https://www.futwiz.com/en/fifa22/player/pierre-kalulu/21356,94,shapeshifter,92,60,83,84,94,90
Felipe Anderson,21355,https://www.futwiz.com/en/fifa22/player/felipe-anderson/21355,94,shapeshifter,99,93,94,97,75,83
Julian Alvarez,21332,https://www.futwiz.com/en/fifa22/player/julian-alvarez/21332,94,liber143,99,95,93,94,65,83
Hany Mukhtar,21264,https://www.futwiz.com/en/fifa22/player/hany-mukhtar/21264,94,tots,96,95,92,94,66,85
James Tavernier,21246,https://www.futwiz.com/en/fifa22/player/james-tavernier/21246,94,tots,99,88,93,91,92,95
Sergej Milinkovic-Savic,21236,https://www.futwiz.com/en/fifa22/player/sergej-milinkovic-savic/21236,94,tots,85,88,93,97,88,95
Marcelo Brozovic,21235,https://www.futwiz.com/en/fifa22/player/marcelo-brozovic/21235,94,tots,91,83,95,90,95,94
Deniz Undav,21197,https://www.futwiz.com/en/fifa22/player/deniz-undav/21197,94,tots,95,95,86,94,56,98
Marek Hamsik,21184,https://www.futwiz.com/en/fifa22/player/marek-hamsik/21184,94,tots,85,90,95,94,86,87
Lucas Paqueta,21173,https://www.futwiz.com/en/fifa22/player/lucas-paqueta/21173,94,tots,91,92,94,96,86,92
Alban Lafont,21172,https://www.futwiz.com/en/fifa22/player/alban-lafont/21172,94,tots,94,93,85,96,70,93
Aurelien Tchouameni,21171,https://www.futwiz.com/en/fifa22/player/aurelien-tchouameni/21171,94,tots,88,87,91,92,92,97
Rodrygo,21118,https://www.futwiz.com/en/fifa22/player/rodrygo/21118,94,showdown1,99,92,91,95,58,79
Darwin Nunez,21098,https://www.futwiz.com/en/fifa22/player/darwin-nunez/21098,94,tots,98,93,88,93,56,98
David Alaba,21061,https://www.futwiz.com/en/fifa22/player/david-alaba/21061,94,tots,88,83,91,91,96,88
Kevin De Bruyne,21030,https://www.futwiz.com/en/fifa22/player/kevin-de-bruyne/21030,94,goldif,82,90,96,91,68,82
Ever Banega,21010,https://www.futwiz.com/en/fifa22/player/ever-banega/21010,94,tots,87,87,96,94,90,87
Thomas Muller,20998,https://www.futwiz.com/en/fifa22/player/thomas-muller/20998,94,tots,91,94,91,93,68,85
Cristiano Ronaldo,20989,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/20989,94,potmpl,91,96,87,92,37,80
Aleksandar Mitrovic,20932,https://www.futwiz.com/en/fifa22/player/aleksandar-mitrovic/20932,94,tots,94,94,82,91,40,98
Bernardo Silva,20922,https://www.futwiz.com/en/fifa22/player/bernardo-silva/20922,94,tots,88,90,94,98,65,79
Dele Alli,20921,https://www.futwiz.com/en/fifa22/player/dele-alli/20921,94,flashback,88,92,92,95,82,90
Karim Benzema,20920,https://www.futwiz.com/en/fifa22/player/karim-benzema/20920,94,potmlaliga,84,92,88,94,44,85
Aymeric Laporte,20830,https://www.futwiz.com/en/fifa22/player/aymeric-laporte/20830,94,tots,90,57,81,82,94,93
Abedi Pele,20700,https://www.futwiz.com/en/fifa22/player/abedi-pele/20700,94,captain2,96,90,93,96,60,72
Marcelo,20699,https://www.futwiz.com/en/fifa22/player/marcelo/20699,94,captain,93,86,93,96,91,89
Kylian Mbappe,20598,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/20598,94,goldif,99,91,86,95,39,84
Coutinho,20471,https://www.futwiz.com/en/fifa22/player/coutinho/20471,94,fantasy2,93,93,92,97,62,76
Kylian Mbappe,20337,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/20337,94,potmligue1,99,91,86,95,39,84
Xavi,20293,https://www.futwiz.com/en/fifa22/player/xavi/20293,94,iconmoment,84,84,96,95,73,73
Puyol,20280,https://www.futwiz.com/en/fifa22/player/puyol/20280,94,iconmoment,79,49,69,60,96,92
George Best,20278,https://www.futwiz.com/en/fifa22/player/george-best/20278,94,iconmoment,95,93,86,98,59,73
Ruud Gullit,20276,https://www.futwiz.com/en/fifa22/player/ruud-gullit/20276,94,iconmoment,88,95,92,90,84,92
Franco Baresi,20269,https://www.futwiz.com/en/fifa22/player/franco-baresi/20269,94,iconmoment,80,50,79,74,97,85
Thierry Henry,20258,https://www.futwiz.com/en/fifa22/player/thierry-henry/20258,94,iconmoment,96,96,85,93,54,81
Cafu,20192,https://www.futwiz.com/en/fifa22/player/cafu/20192,94,iconmoment,94,59,87,91,93,88
David Beckham,20191,https://www.futwiz.com/en/fifa22/player/david-beckham/20191,94,iconmoment,86,89,97,90,73,83
Eric Cantona,20187,https://www.futwiz.com/en/fifa22/player/eric-cantona/20187,94,iconmoment,91,96,91,95,54,93
Carlos Alberto Torres,20180,https://www.futwiz.com/en/fifa22/player/carlos-alberto-torres/20180,94,iconmoment,92,79,83,88,92,89
Eusebio,20173,https://www.futwiz.com/en/fifa22/player/eusebio/20173,94,iconmoment,95,98,87,95,46,80
Lothar Matthaus,20168,https://www.futwiz.com/en/fifa22/player/lothar-matthaus/20168,94,iconmoment,91,92,91,86,91,86
Marco van Basten,20162,https://www.futwiz.com/en/fifa22/player/marco-van-basten/20162,94,iconmoment,86,97,78,91,40,78
Roberto Baggio,20152,https://www.futwiz.com/en/fifa22/player/roberto-baggio/20152,94,iconmoment,87,87,93,94,41,64
Cristiano Ronaldo,20112,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/20112,94,birthday,90,95,86,92,37,81
Robert Lewandowski,19523,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/19523,94,goldif,82,94,82,89,46,84
Riyad Mahrez,19498,https://www.futwiz.com/en/fifa22/player/riyad-mahrez/19498,94,uclrttf,93,90,91,96,45,75
Mohamed Salah,18575,https://www.futwiz.com/en/fifa22/player/mohamed-salah/18575,94,totynominee,95,93,90,95,51,84
Joao Cancelo,18321,https://www.futwiz.com/en/fifa22/player/joao-cancelo/18321,94,toty,95,85,91,93,90,87
Joshua Kimmich,18241,https://www.futwiz.com/en/fifa22/player/joshua-kimmich/18241,94,headliner4,78,80,91,89,89,86
Mohamed Salah,18240,https://www.futwiz.com/en/fifa22/player/mohamed-salah/18240,94,headliner4,95,93,90,95,51,84
Ronaldinho,18156,https://www.futwiz.com/en/fifa22/player/ronaldinho/18156,94,icon,92,90,91,95,37,81
Johan Cruyff,18155,https://www.futwiz.com/en/fifa22/player/johan-cruyff/18155,94,icon,91,92,91,94,42,73
Lev Yashin,18154,https://www.futwiz.com/en/fifa22/player/lev-yashin/18154,94,icon,95,89,75,96,60,95
Ferenc Puskas,18050,https://www.futwiz.com/en/fifa22/player/ferenc-puskas/18050,94,icon,91,96,91,92,46,76
Paolo Maldini,18049,https://www.futwiz.com/en/fifa22/player/paolo-maldini/18049,94,icon,86,56,75,69,96,83
Garrincha,18048,https://www.futwiz.com/en/fifa22/player/garrincha/18048,94,icon,90,87,94,96,41,68
Lionel Messi,17752,https://www.futwiz.com/en/fifa22/player/lionel-messi/17752,94,goldif,86,93,92,96,35,68
Ronaldo Nazario,17070,https://www.futwiz.com/en/fifa22/player/ronaldo-nazario/17070,94,icon,93,93,80,93,46,80
Zinedine Zidane,17069,https://www.futwiz.com/en/fifa22/player/zinedine-zidane/17069,94,icon,82,90,93,92,72,83
Tiago Djalo,21517,https://www.futwiz.com/en/fifa22/player/tiago-djalo/21517,93,futtieswinner,92,61,82,85,90,93
Ivan Cavaleiro,21501,https://www.futwiz.com/en/fifa22/player/ivan-cavaleiro/21501,93,futtieswinner,96,93,88,94,56,89
Kevin Mbabu,21500,https://www.futwiz.com/en/fifa22/player/kevin-mbabu/21500,93,futtieswinner,99,65,86,90,90,93
Gerson,21495,https://www.futwiz.com/en/fifa22/player/gerson/21495,93,shapeshifter,96,91,89,95,83,85
Amadou Haidara,21489,https://www.futwiz.com/en/fifa22/player/amadou-haidara/21489,93,shapeshifter,95,82,91,95,91,88
Alexis Claude-Maurice,21479,https://www.futwiz.com/en/fifa22/player/alexis-claude-maurice/21479,93,shapeshifter,95,89,91,96,90,89
Thomas Delaine,21478,https://www.futwiz.com/en/fifa22/player/thomas-delaine/21478,93,shapeshifter,97,80,90,92,92,91
Lucas Martinez Quarta,21465,https://www.futwiz.com/en/fifa22/player/lucas-martinez-quarta/21465,93,shapeshifter,96,82,89,91,91,92
Fernando Morientes,21455,https://www.futwiz.com/en/fifa22/player/fernando-morientes/21455,93,shapehero,90,94,93,91,49,90
Felipe,21454,https://www.futwiz.com/en/fifa22/player/felipe/21454,93,shapeshifter,84,79,94,94,95,94
Bartra,21453,https://www.futwiz.com/en/fifa22/player/bartra/21453,93,shapeshifter,96,93,91,95,86,82
Kevin Volland,21425,https://www.futwiz.com/en/fifa22/player/kevin-volland/21425,93,shapeshifter,90,79,84,86,92,95
Emre Can,21421,https://www.futwiz.com/en/fifa22/player/emre-can/21421,93,shapeshifter,90,75,84,87,93,94
Emerson,21414,https://www.futwiz.com/en/fifa22/player/emerson/21414,93,shapeshifter,92,83,86,89,90,93
Roberto Pereyra,21413,https://www.futwiz.com/en/fifa22/player/roberto-pereyra/21413,93,shapeshifter,98,86,93,96,91,89
Marcus Thuram,21369,https://www.futwiz.com/en/fifa22/player/marcus-thuram/21369,93,shapeshifter,97,93,87,95,56,91
Jeremiah St. Juste,21358,https://www.futwiz.com/en/fifa22/player/jeremiah-st.-juste/21358,93,shapeshifter,99,93,90,91,84,93
Nicolas Pepe,21357,https://www.futwiz.com/en/fifa22/player/nicolas-pepe/21357,93,shapeshifter,95,91,89,93,48,82
Mark Noble,21346,https://www.futwiz.com/en/fifa22/player/mark-noble/21346,93,sbcprem,88,85,96,93,93,90
