ID;Nombre;IdFutbin;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
30;Lamine Yamal;55812;https://www.futbin.com/25/player/55812/lamine-yamal;95;ballon_dor;FC Barcelona;LALIGA EA SPORTS;Spain;93;94;93;95;40;80
31;Erling Haaland;55813;https://www.futbin.com/25/player/55813/erling-haaland;95;ballon_dor;Manchester City;Premier League;Norway;93;95;92;92;50;95
32;Lauren James;55814;https://www.futbin.com/25/player/55814/lauren-james;95;ballon_dor;Chelsea;Barclays WSL;England;95;94;95;93;51;91
33;Harry Kane;55815;https://www.futbin.com/25/player/55815/harry-kane;95;ballon_dor;FC Bayern München;Bundesliga;England;90;95;90;92;53;92
34;Caroline Graham Hansen;55816;https://www.futbin.com/25/player/55816/caroline-graham-hansen;95;ballon_dor;FC Barcelona;Liga F;Norway;92;92;92;95;54;85
35;Trinity Rodman;55817;https://www.futbin.com/25/player/55817/trinity-rodman;95;ballon_dor;Washington Spirit;NWSL;United States;97;92;91;91;50;90
36;Marie Katoto;55818;https://www.futbin.com/25/player/55818/marie-katoto;95;ballon_dor;Paris SG;D1 Arkema;France;92;95;91;91;42;92
37;Giulia Gwinn;55819;https://www.futbin.com/25/player/55819/giulia-gwinn;95;ballon_dor;FC Bayern München;GPFBL;Germany;91;80;91;92;95;84
38;Sophia Wilson;55820;https://www.futbin.com/25/player/55820/sophia-wilson;95;ballon_dor;Portland Timbers-Thorns;NWSL;United States;95;95;86;92;50;90
39;Lautaro Martínez;55821;https://www.futbin.com/25/player/55821/lautaro-martinez;95;ballon_dor;Lombardia FC;Serie A TIM;Argentina;91;95;80;92;60;88
40;Lindsey Horan;55822;https://www.futbin.com/25/player/55822/lindsey-horan;95;ballon_dor;OL;D1 Arkema;United States;93;90;92;93;81;91
41;Tarciane Karen dos Santos de Lima;55823;https://www.futbin.com/25/player/55823/tarciane-karen-dos-santos-de-lima;95;ballon_dor;Houston Dash;NWSL;Brazil;90;52;77;78;95;90
42;Salma Celeste Paralluelo Ayingono;55824;https://www.futbin.com/25/player/55824/salma-celeste-paralluelo-ayingono;95;ballon_dor;FC Barcelona;Liga F;Spain;95;92;92;94;50;85
43;Ronaldo Luís Nazário de Lima;56371;https://www.futbin.com/25/player/56371/ronaldo-luis-nazario-de-lima;95;winter_wildcards_icon;EA FC ICONS;Icons;Brazil;95;95;80;95;44;76
44;Cole Palmer;56781;https://www.futbin.com/25/player/56781/cole-palmer;95;toty;Chelsea;Premier League;England;90;93;95;97;60;80
45;Sakina Karchaoui;56785;https://www.futbin.com/25/player/56785/sakina-karchaoui;95;toty;Paris SG;D1 Arkema;France;97;75;91;95;92;80
46;Wendie Renard;56786;https://www.futbin.com/25/player/56786/wendie-renard;95;toty;OL;D1 Arkema;France;86;73;80;78;98;93
47;William Saliba;56787;https://www.futbin.com/25/player/56787/william-saliba;95;toty;Arsenal;Premier League;France;90;47;80;83;95;93
48;Daniel Carvajal Ramos;56788;https://www.futbin.com/25/player/56788/daniel-carvajal-ramos;95;toty;Real Madrid;LALIGA EA SPORTS;Spain;94;78;87;92;95;87
49;Eusébio da Silva Ferreira;56792;https://www.futbin.com/25/player/56792/eusebio-da-silva-ferreira;95;toty_icon;EA FC ICONS;Icons;Portugal;94;95;88;95;48;82
50;Erling Haaland;57095;https://www.futbin.com/25/player/57095/erling-haaland;95;toty_honourable_mention;Manchester City;Premier League;Norway;92;96;77;88;50;92
51;Khadija Shaw;57108;https://www.futbin.com/25/player/57108/khadija-shaw;95;toty;Manchester City;Barclays WSL;Jamaica;90;95;85;90;41;94
52;C. Ronaldo dos Santos Aveiro;57109;https://www.futbin.com/25/player/57109/c-ronaldo-dos-santos-aveiro;95;toty;Al Nassr;ROSHN Saudi League;Portugal;91;96;88;92;42;90
53;Omar Marmoush;57779;https://www.futbin.com/25/player/57779/omar-marmoush;95;Fantasy_FC;Manchester City;Premier League;Egypt;98;92;89;95;48;86
54;Khvicha Kvaratskhelia;57782;https://www.futbin.com/25/player/57782/khvicha-kvaratskhelia;95;Fantasy_FC;Paris SG;Ligue 1 Uber Eats;Georgia;95;90;90;99;52;85
55;Diego Maradona;57801;https://www.futbin.com/25/player/57801/diego-maradona;95;icon;EA FC ICONS;Icons;Argentina;90;91;91;96;40;77
56;Martin Ødegaard;57806;https://www.futbin.com/25/player/57806/martin-odegaard;95;ucl_rttf;Arsenal;Premier League;Norway;91;93;96;95;78;77
57;Marcus Rashford;58179;https://www.futbin.com/25/player/58179/marcus-rashford;95;Fantasy_FC;Aston Villa;Premier League;England;99;95;90;95;49;84
58;Rodrygo Silva de Goes;58180;https://www.futbin.com/25/player/58180/rodrygo-silva-de-goes;95;Fantasy_FC;Real Madrid;LALIGA EA SPORTS;Brazil;97;92;92;96;40;76
59;Erling Haaland;58247;https://www.futbin.com/25/player/58247/erling-haaland;95;fut_birthday;Manchester City;Premier League;Norway;92;97;80;88;50;93
60;Ronaldo de Assis Moreira;58284;https://www.futbin.com/25/player/58284/ronaldo-de-assis-moreira;95;fut_birthday_icon;EA FC ICONS;Icons;Brazil;94;91;93;97;41;83
61;Virgil van Dijk;58604;https://www.futbin.com/25/player/58604/virgil-van-dijk;95;fut_birthday;Liverpool;Premier League;Netherlands;87;66;78;78;95;93
62;Harry Kane;58696;https://www.futbin.com/25/player/58696/harry-kane;95;ucl_dreamchasers;FC Bayern München;Bundesliga;England;90;98;91;91;54;89
63;Kylian Mbappé;58697;https://www.futbin.com/25/player/58697/kylian-mbappe;95;ucl_dreamchasers;Real Madrid;LALIGA EA SPORTS;France;99;94;85;96;40;84
64;Robert Lewandowski;59117;https://www.futbin.com/25/player/59117/robert-lewandowski;95;ucl_dreamchasers;FC Barcelona;LALIGA EA SPORTS;Poland;90;95;88;92;51;91
65;Mohamed Salah;59119;https://www.futbin.com/25/player/59119/mohamed-salah;95;ucl_dreamchasers;Liverpool;Premier League;Egypt;94;91;90;95;56;82
66;Thierry Henry;59325;https://www.futbin.com/25/player/59325/thierry-henry;95;fut_immortals_icon;EA FC ICONS;Icons;France;96;95;95;94;65;92
67;Nadine Angerer;59327;https://www.futbin.com/25/player/59327/nadine-angerer;95;fut_immortals_icon;EA FC ICONS;Icons;Germany;95;92;85;97;62;95
68;Gianluigi Buffon;59432;https://www.futbin.com/25/player/59432/gianluigi-buffon;95;fut_immortals_icon;EA FC ICONS;Icons;Italy;98;90;85;97;67;94
69;Ferran Torres García;59483;https://www.futbin.com/25/player/59483/ferran-torres-garcia;95;honourable_mentions;FC Barcelona;LALIGA EA SPORTS;Spain;95;94;90;95;42;84
70;Federico Chiesa;59489;https://www.futbin.com/25/player/59489/federico-chiesa;95;flashback;Liverpool;Premier League;Italy;96;91;93;95;60;88
71;Michy Batshuayi;59490;https://www.futbin.com/25/player/59490/michy-batshuayi;95;flashback;Frankfurt;Bundesliga;Belgium;96;95;88;93;46;93
72;Zinedine Zidane;54356;https://www.futbin.com/25/player/54356/zinedine-zidane;94;icon;EA FC ICONS;Icons;France;83;90;94;94;73;84
73;Ronaldo Luís Nazário de Lima;54402;https://www.futbin.com/25/player/54402/ronaldo-luis-nazario-de-lima;94;icon;EA FC ICONS;Icons;Brazil;94;94;79;94;43;75
74;Kylian Mbappé;56084;https://www.futbin.com/25/player/56084/kylian-mbappe;94;thunderstruck;Real Madrid;LALIGA EA SPORTS;France;99;93;84;95;39;82
75;Ronaldo de Assis Moreira;56199;https://www.futbin.com/25/player/56199/ronaldo-de-assis-moreira;94;ultimate_succession_icon;EA FC ICONS;Icons;Brazil;92;90;91;96;40;82
76;Erling Haaland;56341;https://www.futbin.com/25/player/56341/erling-haaland;94;winter_wildcards;Manchester City;Premier League;Norway;90;78;80;75;88;94
77;Erling Haaland;56342;https://www.futbin.com/25/player/56342/erling-haaland;94;winter_wildcards;Manchester City;Premier League;Norway;91;95;76;87;48;91
78;Mia Hamm;56433;https://www.futbin.com/25/player/56433/mia-hamm;94;winter_wildcards_icon;EA FC ICONS;Icons;United States;93;94;87;93;55;82
79;Ferenc Puskás;56757;https://www.futbin.com/25/player/56757/ferenc-puskas;94;toty_icon;EA FC ICONS;Icons;Hungary;92;95;92;94;53;88
80;Kevin De Bruyne;56760;https://www.futbin.com/25/player/56760/kevin-de-bruyne;94;flashback;Manchester City;Premier League;Belgium;85;92;95;92;80;83
81;Emiliano Martínez;56773;https://www.futbin.com/25/player/56773/emiliano-martinez;94;toty;Aston Villa;Premier League;Argentina;91;89;90;93;63;94
82;Ann-Katrin Berger;56774;https://www.futbin.com/25/player/56774/ann-katrin-berger;94;toty;NJ/NY Gotham;NWSL;Germany;95;94;90;94;55;91
83;Alejandro Grimaldo García;56789;https://www.futbin.com/25/player/56789/alejandro-grimaldo-garcia;94;toty;Leverkusen;Bundesliga;Spain;96;85;96;94;87;85
84;Irene Paredes Hernández;56790;https://www.futbin.com/25/player/56790/irene-paredes-hernandez;94;toty;FC Barcelona;Liga F;Spain;85;57;80;80;95;93
85;Lucy Bronze;56791;https://www.futbin.com/25/player/56791/lucy-bronze;94;toty;Chelsea;Barclays WSL;England;94;78;91;90;92;93
86;Harry Kane;57110;https://www.futbin.com/25/player/57110/harry-kane;94;toty_honourable_mention;FC Bayern München;Bundesliga;England;85;97;90;90;53;87
87;Lamine Yamal;57152;https://www.futbin.com/25/player/57152/lamine-yamal;94;future_stars;FC Barcelona;LALIGA EA SPORTS;Spain;96;92;93;96;40;70
88;Bobby Charlton;57174;https://www.futbin.com/25/player/57174/bobby-charlton;94;future_stars_icon;EA FC ICONS;Icons;England;92;94;90;93;52;76
89;Samuel Eto'o;57456;https://www.futbin.com/25/player/57456/samuel-etoo;94;future_stars_icon;EA FC ICONS;Icons;Cameroon;95;94;85;90;52;86
90;Manuel Franc. dos Santos;57457;https://www.futbin.com/25/player/57457/manuel-franc-dos-santos;94;future_stars_icon;EA FC ICONS;Icons;Brazil;92;88;94;96;42;70
91;Roberto Baggio;57525;https://www.futbin.com/25/player/57525/roberto-baggio;94;grassroot_greats_icon;EA FC ICONS;Icons;Italy;90;88;93;94;44;66
92;Heung Min Son;57776;https://www.futbin.com/25/player/57776/heung-min-son;94;Fantasy_FC;Spurs;Premier League;Korea Republic;94;95;89;92;53;83
93;Aurélien Tchouaméni;57777;https://www.futbin.com/25/player/57777/aurelien-tchouameni;94;Fantasy_FC;Real Madrid;LALIGA EA SPORTS;France;86;77;87;88;94;92
94;Crystal Dunn;57784;https://www.futbin.com/25/player/57784/crystal-dunn;94;Fantasy_FC;Paris SG;D1 Arkema;United States;94;86;99;94;87;88
95;Blaise Matuidi;57794;https://www.futbin.com/25/player/57794/blaise-matuidi;94;Fantasy_FC_Hero;HERO;Ligue 1 Uber Eats;France;91;81;88;88;99;94
96;Eden Hazard;57795;https://www.futbin.com/25/player/57795/eden-hazard;94;Fantasy_FC_Hero;HERO;LALIGA EA SPORTS;Belgium;97;91;91;97;45;76
97;Alphonso Davies;58182;https://www.futbin.com/25/player/58182/alphonso-davies;94;Fantasy_FC;FC Bayern München;Bundesliga;Canada;99;74;89;92;85;88
98;Keira Walsh;58185;https://www.futbin.com/25/player/58185/keira-walsh;94;Fantasy_FC;Chelsea;Barclays WSL;England;90;72;95;90;95;88
99;José Roberto da Silva Júnior;58197;https://www.futbin.com/25/player/58197/jose-roberto-da-silva-junior;94;Fantasy_FC_Hero;HERO;Bundesliga;Brazil;99;91;94;96;86;89
100;Sophia Wilson;58248;https://www.futbin.com/25/player/58248/sophia-wilson;94;fut_birthday;Portland Timbers-Thorns;NWSL;United States;96;90;81;94;50;90
101;Antoine Griezmann;58250;https://www.futbin.com/25/player/58250/antoine-griezmann;94;fut_birthday;Atlético de Madrid;LALIGA EA SPORTS;France;90;92;93;94;63;82
102;Jude Bellingham;58251;https://www.futbin.com/25/player/58251/jude-bellingham;94;fut_birthday;Real Madrid;LALIGA EA SPORTS;England;87;94;90;93;85;90
103;Aitana Bonmatí Conca;58253;https://www.futbin.com/25/player/58253/aitana-bonmati-conca;94;fut_birthday;FC Barcelona;Liga F;Spain;87;92;93;94;85;80
104;Rafael da Conceição Leão;58254;https://www.futbin.com/25/player/58254/rafael-da-conceicao-leao;94;fut_birthday;Milano FC;Serie A TIM;Portugal;97;88;89;94;50;86
105;Ramires Santos do Nascimen.;58279;https://www.futbin.com/25/player/58279/ramires-santos-do-nascimen;94;fut_birthday_hero;HERO;Premier League;Brazil;95;86;90;89;92;91
106;Patrick Vieira;58285;https://www.futbin.com/25/player/58285/patrick-vieira;94;fut_birthday_icon;EA FC ICONS;Icons;France;88;85;88;90;94;96
107;Sam Kerr;58605;https://www.futbin.com/25/player/58605/sam-kerr;94;fut_birthday;Chelsea;Barclays WSL;Australia;90;92;81;94;47;87
108;Gabriel Teodoro Martinelli Silva;58607;https://www.futbin.com/25/player/58607/gabriel-teodoro-martinelli-silva;94;fut_birthday;Arsenal;Premier League;Brazil;97;88;88;95;66;85
109;Jamal Musiala;58610;https://www.futbin.com/25/player/58610/jamal-musiala;94;fut_birthday;FC Bayern München;Bundesliga;Germany;92;90;90;96;70;80
110;Warren Zaïre-Emery;58612;https://www.futbin.com/25/player/58612/warren-zaire-emery;94;fut_birthday;Paris SG;Ligue 1 Uber Eats;France;92;83;91;94;90;92
111;Julián Álvarez;58613;https://www.futbin.com/25/player/58613/julian-alvarez;94;fut_birthday;Atlético de Madrid;LALIGA EA SPORTS;Argentina;91;94;87;91;65;88
112;Kenny Dalglish;58639;https://www.futbin.com/25/player/58639/kenny-dalglish;94;fut_birthday_icon;EA FC ICONS;Icons;Scotland;93;94;82;93;46;80
113;David Beckham;58640;https://www.futbin.com/25/player/58640/david-beckham;94;fut_birthday_icon;EA FC ICONS;Icons;England;92;92;97;91;82;86
114;Raúl González Blanco;58686;https://www.futbin.com/25/player/58686/raul-gonzalez-blanco;94;dreamchasers_icon;EA FC ICONS;Icons;Spain;91;94;90;92;50;76
115;Ruud Gullit;58687;https://www.futbin.com/25/player/58687/ruud-gullit;94;dreamchasers_icon;EA FC ICONS;Icons;Netherlands;90;92;94;91;87;91
116;Birgit Prinz;58688;https://www.futbin.com/25/player/58688/birgit-prinz;94;dreamchasers_icon;EA FC ICONS;Icons;Germany;90;94;82;92;54;91
117;Rivaldo Vítor Borba Ferreira;58689;https://www.futbin.com/25/player/58689/rivaldo-vitor-borba-ferreira;94;dreamchasers_icon;EA FC ICONS;Icons;Brazil;91;92;91;95;46;87
118;Lucimar da Silva Ferreira;58694;https://www.futbin.com/25/player/58694/lucimar-da-silva-ferreira;94;dreamchasers_hero;HERO;Serie A TIM;Brazil;90;77;80;82;95;94
119;Florian Wirtz;58698;https://www.futbin.com/25/player/58698/florian-wirtz;94;ucl_dreamchasers;Leverkusen;Bundesliga;Germany;90;87;94;95;58;78
120;Lautaro Martínez;58699;https://www.futbin.com/25/player/58699/lautaro-martinez;94;ucl_dreamchasers;Lombardia FC;Serie A TIM;Argentina;88;94;83;93;60;90
121;Alexia Putellas Segura;58709;https://www.futbin.com/25/player/58709/alexia-putellas-segura;94;uwcl_dreamchasers;FC Barcelona;Liga F;Spain;87;93;94;95;77;85
122;Gerd Müller;59118;https://www.futbin.com/25/player/59118/gerd-muller;94;dreamchasers_icon;EA FC ICONS;Icons;Germany;91;95;82;90;46;80
123;Joshua Kimmich;59120;https://www.futbin.com/25/player/59120/joshua-kimmich;94;ucl_dreamchasers;FC Bayern München;Bundesliga;Germany;90;82;95;92;93;88
124;Federico Valverde;59123;https://www.futbin.com/25/player/59123/federico-valverde;94;ucl_dreamchasers;Real Madrid;LALIGA EA SPORTS;Uruguay;93;88;91;91;87;89
125;Ricardo Izecson dos Santos Leite;59124;https://www.futbin.com/25/player/59124/ricardo-izecson-dos-santos-leite;94;dreamchasers_icon;EA FC ICONS;Icons;Brazil;92;90;90;94;48;90
126;Kadidiatou Diani;59136;https://www.futbin.com/25/player/59136/kadidiatou-diani;94;uwcl_dreamchasers;OL;D1 Arkema;France;94;90;91;92;65;86
127;Lilian Thuram;59148;https://www.futbin.com/25/player/59148/lilian-thuram;94;dreamchasers_icon;EA FC ICONS;Icons;France;91;62;80;86;94;94
128;Xavier Hernández Creus;59149;https://www.futbin.com/25/player/59149/xavier-hernandez-creus;94;dreamchasers_icon;EA FC ICONS;Icons;Spain;88;86;99;95;84;87
129;Laurent Blanc;59330;https://www.futbin.com/25/player/59330/laurent-blanc;94;fut_immortals_icon;EA FC ICONS;Icons;France;87;73;75;82;96;93
130;Gareth Bale;59331;https://www.futbin.com/25/player/59331/gareth-bale;94;fut_immortals_icon;EA FC ICONS;Icons;Wales;99;94;92;95;75;86
131;David Ginola;59342;https://www.futbin.com/25/player/59342/david-ginola;94;fut_immortals_hero;HERO;Premier League;France;94;93;92;94;75;92
132;Pavel Nedved;59345;https://www.futbin.com/25/player/59345/pavel-nedved;94;fut_immortals_icon;EA FC ICONS;Icons;Czechia;92;88;94;94;66;86
133;Paolo Maldini;59434;https://www.futbin.com/25/player/59434/paolo-maldini;94;fut_immortals_icon;EA FC ICONS;Icons;Italy;90;57;80;75;97;91
134;Lothar Matthäus;59435;https://www.futbin.com/25/player/59435/lothar-matthaus;94;fut_immortals_icon;EA FC ICONS;Icons;Germany;92;91;94;87;94;88
135;Arthur Antunes Coimbra;59436;https://www.futbin.com/25/player/59436/arthur-antunes-coimbra;94;fut_immortals_icon;EA FC ICONS;Icons;Brazil;92;95;94;94;67;75
136;Homare Sawa;59449;https://www.futbin.com/25/player/59449/homare-sawa;94;fut_immortals_icon;EA FC ICONS;Icons;Japan;88;90;95;94;87;80
137;Franco Baresi;59453;https://www.futbin.com/25/player/59453/franco-baresi;94;on_this_day_icon;EA FC ICONS;Icons;Italy;86;52;80;78;97;86
138;Cuadrado;59480;https://www.futbin.com/25/player/59480/cuadrado;94;flashback;Bergamo Calcio;Serie A TIM;Colombia;97;86;94;94;87;88
139;Nicolas Pépé;59481;https://www.futbin.com/25/player/59481/nicolas-pepe;94;flashback;Villarreal CF;LALIGA EA SPORTS;Côte d'Ivoire;96;94;85;92;52;83
140;Dan Burn;59482;https://www.futbin.com/25/player/59482/dan-burn;94;honourable_mentions;Newcastle Utd;Premier League;England;86;52;85;86;95;95
141;Kenny Lala;59484;https://www.futbin.com/25/player/59484/kenny-lala;94;flashback;Stade Brestois 29;Ligue 1 Uber Eats;France;94;70;90;91;92;90
142;Dries Mertens;59485;https://www.futbin.com/25/player/59485/dries-mertens;94;honourable_mentions;Galatasaray;Trendyol Süper Lig;Belgium;94;93;90;95;44;80
143;Lisandro Martínez;59486;https://www.futbin.com/25/player/59486/lisandro-martinez;94;flashback;Manchester Utd;Premier League;Argentina;88;70;86;87;94;93
144;Donny van de Beek;59487;https://www.futbin.com/25/player/59487/donny-van-de-beek;94;flashback;Girona FC;LALIGA EA SPORTS;Netherlands;92;91;94;94;90;88
145;Robin Gosens;59488;https://www.futbin.com/25/player/59488/robin-gosens;94;honourable_mentions;Fiorentina;Serie A TIM;Germany;90;86;92;88;94;92
146;Ronaldo de Assis Moreira;54397;https://www.futbin.com/25/player/54397/ronaldo-de-assis-moreira;93;icon;EA FC ICONS;Icons;Brazil;91;89;90;95;38;80
147;Johan Cruyff;54446;https://www.futbin.com/25/player/54446/johan-cruyff;93;icon;EA FC ICONS;Icons;Netherlands;90;91;90;93;42;73
148;Mia Hamm;54518;https://www.futbin.com/25/player/54518/mia-hamm;93;icon;EA FC ICONS;Icons;United States;92;93;86;92;54;81
149;Jude Bellingham;55414;https://www.futbin.com/25/player/55414/jude-bellingham;93;ucl_rttk;Real Madrid;LALIGA EA SPORTS;England;85;91;87;92;83;87
150;Harry Kane;55465;https://www.futbin.com/25/player/55465/harry-kane;93;ucl_rttk;FC Bayern München;Bundesliga;England;82;96;87;87;52;85
151;Virgil van Dijk;55466;https://www.futbin.com/25/player/55466/virgil-van-dijk;93;ucl_rttk;Liverpool;Premier League;Netherlands;83;64;75;75;93;90
152;Erling Haaland;55660;https://www.futbin.com/25/player/55660/erling-haaland;93;trailblazers;Manchester City;Premier League;Norway;90;94;74;84;47;90
153;Kevin De Bruyne;56085;https://www.futbin.com/25/player/56085/kevin-de-bruyne;93;thunderstruck;Manchester City;Premier League;Belgium;84;91;97;91;72;82
154;Ruud Gullit;56106;https://www.futbin.com/25/player/56106/ruud-gullit;93;thunderstruck_icon;EA FC ICONS;Icons;Netherlands;88;91;93;89;83;90
155;Arthur Antunes Coimbra;56129;https://www.futbin.com/25/player/56129/arthur-antunes-coimbra;93;thunderstruck_icon;EA FC ICONS;Icons;Brazil;91;94;93;93;65;74
156;Paolo Maldini;56200;https://www.futbin.com/25/player/56200/paolo-maldini;93;ultimate_succession_icon;EA FC ICONS;Icons;Italy;86;56;75;70;96;85
157;Vinícius José de Oliveira Júnior;56344;https://www.futbin.com/25/player/56344/vinicius-jose-de-oliveira-junior;93;winter_wildcards;Real Madrid;LALIGA EA SPORTS;Brazil;98;87;84;94;34;74
158;Caroline Graham Hansen;56345;https://www.futbin.com/25/player/56345/caroline-graham-hansen;93;winter_wildcards;FC Barcelona;Liga F;Norway;92;91;91;93;52;82
159;Vinícius José de Oliveira Júnior;56346;https://www.futbin.com/25/player/56346/vinicius-jose-de-oliveira-junior;93;winter_wildcards;Real Madrid;LALIGA EA SPORTS;Brazil;98;87;84;94;34;74
160;Birgit Prinz;56462;https://www.futbin.com/25/player/56462/birgit-prinz;93;winter_wildcards_icon;EA FC ICONS;Icons;Germany;86;93;81;86;53;90
161;Kenny Dalglish;56487;https://www.futbin.com/25/player/56487/kenny-dalglish;93;winter_wildcards_icon;EA FC ICONS;Icons;Scotland;92;93;81;91;45;78
162;Iker Casillas Fernández;56756;https://www.futbin.com/25/player/56756/iker-casillas-fernandez;93;toty_icon;EA FC ICONS;Icons;Spain;93;91;89;96;72;91
163;Marcos de Morais;56758;https://www.futbin.com/25/player/56758/marcos-de-morais;93;toty_icon;EA FC ICONS;Icons;Brazil;93;70;85;90;92;90
164;Thierry Henry;56759;https://www.futbin.com/25/player/56759/thierry-henry;93;toty_icon;EA FC ICONS;Icons;France;94;93;93;92;60;90
165;Lionel Messi;57097;https://www.futbin.com/25/player/57097/lionel-messi;93;toty_honourable_mention;Inter Miami CF;MLS;Argentina;87;90;93;96;39;71
166;Phil Foden;57098;https://www.futbin.com/25/player/57098/phil-foden;93;toty_honourable_mention;Manchester City;Premier League;England;93;92;91;96;63;70
167;Daniel Olmo Carvajal;57148;https://www.futbin.com/25/player/57148/daniel-olmo-carvajal;93;ucl_rttf;FC Barcelona;LALIGA EA SPORTS;Spain;91;93;91;93;73;91
